Time;Head;Neck;Spine Shoulder;Spine Mid;Spine Base;R Shoulder;R Elbow;R Wrist;R Hand;R Hand Tip;
1523791443755;0.156419 0.528084 3.51966;0.184115 0.373227 3.47955;0.175908 0.285242 3.47933;0.150493 0.0171062 3.46907;0.116656 -0.346832 3.44442;0.20792 0.217212 3.3083;-0.0593572 0.0364481 3.3083;-0.295338 -0.0607073 3.11555;-0.378561 -0.0937077 3.11402;-0.457957 -0.137584 3.11349;
1523791443788;0.156824 0.528176 3.51918;0.184118 0.373289 3.47951;0.17593 0.285323 3.4793;0.150611 0.0172861 3.46901;0.116869 -0.346496 3.44434;0.207708 0.217385 3.30831;-0.0597327 0.0364593 3.30831;-0.306484 -0.0564349 3.12343;-0.372062 -0.0908451 3.11403;-0.437203 -0.143532 3.10688;
1523791443821;0.156677 0.528334 3.51962;0.18427 0.373483 3.47976;0.176092 0.285536 3.47954;0.150784 0.0175317 3.46915;0.116973 -0.346212 3.44438;0.207704 0.217552 3.30844;-0.0674897 0.0331124 3.30844;-0.30623 -0.0581965 3.11719;-0.385919 -0.0914365 3.11699;-0.465633 -0.124353 3.1162;
1523791443854;0.156147 0.528079 3.51988;0.184147 0.37329 3.47982;0.175947 0.285431 3.47962;0.150401 0.0176981 3.46936;0.115529 -0.344944 3.44508;0.20753 0.217172 3.30844;-0.067094 0.0342104 3.30844;-0.308537 -0.0541925 3.12258;-0.373385 -0.0860605 3.1142;-0.43757 -0.140125 3.11195;
1523791443887;0.156103 0.528175 3.51991;0.184134 0.373408 3.47999;0.175947 0.285618 3.47975;0.150477 0.0183121 3.46928;0.115793 -0.343306 3.44422;0.207563 0.218135 3.30843;-0.0649407 0.0365661 3.30843;-0.303195 -0.0540368 3.11473;-0.383746 -0.0834785 3.11595;-0.461396 -0.119331 3.11206;
1523791443920;0.156463 0.527515 3.52002;0.183832 0.372651 3.48032;0.175726 0.28502 3.47998;0.150426 0.0180323 3.46926;0.115847 -0.343556 3.44399;0.207647 0.219181 3.30871;-0.064283 0.0380165 3.30871;-0.301721 -0.0540903 3.11484;-0.383791 -0.0820036 3.11603;-0.454259 -0.11855 3.11008;
1523791443953;0.156281 0.527398 3.52005;0.183832 0.372572 3.48033;0.175714 0.285001 3.48001;0.150284 0.0182904 3.46949;0.115191 -0.342194 3.44495;0.207787 0.219142 3.30869;-0.0637164 0.0396031 3.30869;-0.300869 -0.0538336 3.11579;-0.384136 -0.0783393 3.11553;-0.461456 -0.111555 3.11022;
1523791443988;0.156077 0.527354 3.5201;0.184051 0.372594 3.48021;0.175863 0.285034 3.47992;0.150326 0.0183342 3.46944;0.115166 -0.342184 3.44491;0.207798 0.219145 3.30869;-0.0629853 0.0412968 3.30869;-0.300652 -0.05211 3.11788;-0.388204 -0.0771255 3.11616;-0.459689 -0.113135 3.11249;
1523791444021;0.156495 0.527544 3.52085;0.18402 0.372595 3.48015;0.175841 0.285039 3.47988;0.150326 0.0183442 3.46938;0.115214 -0.342239 3.44479;0.20804 0.218187 3.30893;-0.0631034 0.0437643 3.30893;-0.300032 -0.05135 3.1174;-0.38782 -0.0736007 3.11669;-0.462104 -0.114609 3.1094;
1523791444053;0.155919 0.527313 3.52037;0.184023 0.372534 3.48009;0.175846 0.284996 3.4798;0.150356 0.0183454 3.46918;0.115318 -0.342236 3.44425;0.207912 0.217748 3.30868;-0.0640405 0.0458428 3.30868;-0.300843 -0.0506213 3.11753;-0.389379 -0.0693495 3.11419;-0.461623 -0.110045 3.11131;
1523791444087;0.155706 0.527908 3.51977;0.18384 0.373271 3.48069;0.175631 0.285869 3.48049;0.150063 0.0196022 3.47001;0.114942 -0.340797 3.44519;0.207987 0.217891 3.30878;-0.0640223 0.0478979 3.30878;-0.301833 -0.0469891 3.11867;-0.390778 -0.0646618 3.11813;-0.461634 -0.0978308 3.11296;
1523791444122;0.156128 0.528067 3.51995;0.183863 0.37331 3.4806;0.175673 0.285979 3.48039;0.150252 0.020184 3.46985;0.115461 -0.339272 3.44504;0.207806 0.218592 3.30849;-0.0631932 0.0510136 3.30849;-0.300486 -0.0458527 3.11952;-0.392803 -0.0627413 3.11783;-0.46256 -0.10368 3.10899;
1523791444156;0.15536 0.528397 3.51953;0.183879 0.37369 3.47931;0.1757 0.286371 3.47933;0.150304 0.0205473 3.46925;0.115504 -0.33911 3.44488;0.207319 0.217419 3.30782;-0.0636836 0.0520577 3.30782;-0.301295 -0.0442069 3.11912;-0.39306 -0.0570588 3.11768;-0.461122 -0.0925017 3.1095;
1523791444187;0.155504 0.528457 3.51922;0.183574 0.373686 3.47926;0.175338 0.286566 3.47922;0.149519 0.0221654 3.46869;0.114046 -0.333865 3.44324;0.207241 0.217533 3.30774;-0.0640346 0.0527281 3.30774;-0.302473 -0.0398408 3.11727;-0.396721 -0.0533211 3.11716;-0.463308 -0.092535 3.11103;
1523791444231;0.154381 0.528033 3.51793;0.183902 0.373549 3.47778;0.175563 0.286615 3.47814;0.149578 0.0223877 3.46839;0.114013 -0.333672 3.4434;0.207028 0.217507 3.30748;-0.0633769 0.0537941 3.30748;-0.303076 -0.0337738 3.11618;-0.395676 -0.0480544 3.1165;-0.46254 -0.0828469 3.10743;
1523791444259;0.155042 0.527938 3.51753;0.183845 0.373408 3.47825;0.175505 0.286602 3.47844;0.149503 0.0225788 3.4685;0.113853 -0.333287 3.4434;0.206991 0.217912 3.30718;-0.0642348 0.0555073 3.30718;-0.305114 -0.0288404 3.11544;-0.397353 -0.045075 3.11661;-0.468734 -0.07748 3.10774;
1523791444287;0.154153 0.527864 3.51711;0.183799 0.373556 3.47815;0.175469 0.286808 3.47831;0.149532 0.0229293 3.4683;0.113948 -0.333103 3.44327;0.207134 0.21867 3.30709;-0.0640176 0.0563515 3.30709;-0.305228 -0.0259354 3.1154;-0.397161 -0.0404538 3.11751;-0.468502 -0.0737618 3.11086;
1523791444320;0.154179 0.528237 3.51721;0.183559 0.373808 3.47781;0.175281 0.286957 3.47808;0.149457 0.0228893 3.46827;0.11378 -0.334111 3.44371;0.207077 0.218231 3.30703;-0.064493 0.0601665 3.30703;-0.307116 -0.019681 3.11706;-0.398007 -0.035 3.11856;-0.471602 -0.0709958 3.11459;
1523791444352;0.153717 0.528397 3.51687;0.183337 0.373986 3.47724;0.175074 0.287114 3.47748;0.149322 0.0228986 3.46765;0.113756 -0.334478 3.44312;0.206687 0.21835 3.30678;-0.0648266 0.0610145 3.30678;-0.308005 -0.0177283 3.11762;-0.378074 -0.0274892 3.11604;-0.443127 -0.0596904 3.10101;
1523791444385;0.153613 0.528828 3.51707;0.182998 0.374352 3.47738;0.174867 0.287337 3.47751;0.149298 0.0229001 3.46753;0.114168 -0.335272 3.44228;0.206727 0.218271 3.30686;-0.0636085 0.0634532 3.30686;-0.306994 -0.0155941 3.11801;-0.373627 -0.0218043 3.11726;-0.427089 -0.0483484 3.09686;
1523791444420;0.154781 0.529056 3.51615;0.182764 0.374388 3.47733;0.174464 0.287541 3.47749;0.14811 0.0240435 3.46776;0.111232 -0.331891 3.44364;0.206338 0.218739 3.30631;-0.0641999 0.064457 3.30631;-0.30821 -0.0125511 3.11735;-0.380515 -0.0204627 3.11303;-0.451085 -0.0475681 3.09908;
1523791444452;0.155038 0.529158 3.51619;0.182644 0.3744 3.47729;0.174374 0.287565 3.47743;0.148119 0.0240467 3.46756;0.111712 -0.332198 3.44295;0.206081 0.2195 3.30633;-0.0498023 0.0759202 3.30633;-0.293263 -0.00671721 3.12411;-0.37356 -0.0173064 3.11745;-0.443112 -0.0453632 3.10481;
1523791444485;0.154594 0.529012 3.51593;0.182515 0.374332 3.47712;0.174263 0.287512 3.47721;0.148124 0.0239404 3.46716;0.112064 -0.33263 3.4422;0.206185 0.219702 3.3062;-0.0555562 0.0748179 3.3062;-0.299031 -0.00722832 3.1222;-0.374066 -0.0138982 3.11612;-0.448421 -0.0396746 3.0996;
1523791444520;0.154445 0.529968 3.51606;0.182774 0.375331 3.47705;0.17454 0.288299 3.47702;0.148565 0.0242004 3.46663;0.113266 -0.333534 3.44067;0.205696 0.219843 3.30602;-0.0618166 0.0749134 3.30602;-0.30537 -0.00816095 3.1205;-0.378568 -0.01149 3.11364;-0.449036 -0.0385261 3.10051;
1523791444552;0.154739 0.530142 3.51598;0.182719 0.375422 3.47691;0.174485 0.288481 3.47681;0.1486 0.0246386 3.46616;0.113447 -0.332838 3.44003;0.205616 0.219891 3.30595;-0.061442 0.0748528 3.30595;-0.30528 -0.00534228 3.11853;-0.377 -0.00781642 3.1152;-0.442227 -0.0342961 3.09915;
1523791444585;0.154931 0.529893 3.51644;0.182389 0.374904 3.47601;0.174236 0.288205 3.47618;0.148536 0.0246537 3.46602;0.113419 -0.332603 3.44021;0.20538 0.21987 3.30533;-0.0641693 0.0744328 3.30533;-0.308466 -0.00209946 3.11545;-0.378311 -0.00578327 3.1112;-0.445956 -0.0365802 3.09842;
1523791444619;0.154862 0.530201 3.51646;0.182162 0.375136 3.4757;0.174015 0.288368 3.47588;0.148363 0.0245852 3.46577;0.113196 -0.333149 3.44005;0.205544 0.219831 3.30513;-0.0635611 0.0748595 3.30513;-0.312919 0.0167645 3.11603;-0.384494 -0.00132031 3.10892;-0.456006 -0.0236513 3.09292;
1523791444654;0.153648 0.530059 3.51643;0.182011 0.37521 3.47564;0.173762 0.288543 3.47582;0.147725 0.0251723 3.46584;0.11166 -0.33161 3.44085;0.205509 0.220251 3.30507;-0.065504 0.0754618 3.30507;-0.314771 0.0168246 3.11593;-0.384839 0.00427948 3.11128;-0.456865 -0.0162944 3.09638;
1523791444685;0.15393 0.53003 3.51574;0.181989 0.375194 3.47561;0.173742 0.288537 3.4758;0.14772 0.0251747 3.46582;0.111674 -0.331614 3.44084;0.205239 0.220576 3.30502;-0.0535355 0.0867791 3.30502;-0.30944 0.0204324 3.12148;-0.414118 0.00209916 3.11221;-0.48856 -0.0210555 3.1077;
1523791444720;0.153341 0.530215 3.51346;0.181849 0.375712 3.47529;0.173617 0.288988 3.47546;0.147681 0.0253561 3.46548;0.111745 -0.33175 3.44051;0.204786 0.22072 3.30497;-0.062296 0.0849921 3.30497;-0.307655 0.0141451 3.11213;-0.413647 0.00298245 3.1112;-0.487662 -0.0232595 3.10433;
1523791444753;0.153185 0.530045 3.5138;0.181802 0.375518 3.47526;0.173569 0.288949 3.47543;0.147423 0.025762 3.46541;0.110836 -0.329447 3.44056;0.204675 0.220687 3.30505;-0.06608 0.0845529 3.30505;-0.31157 0.0131102 3.11216;-0.391055 0.00984351 3.112;-0.460045 -0.0119367 3.09857;
1523791444786;0.152957 0.530205 3.51342;0.181868 0.375727 3.47481;0.173596 0.289238 3.47491;0.147368 0.0262298 3.46472;0.110752 -0.329096 3.4399;0.2044 0.220863 3.30483;-0.0678656 0.0846093 3.30483;-0.314157 0.014088 3.11298;-0.40333 0.0151272 3.11323;-0.469689 -0.0098781 3.10305;
1523791444819;0.151989 0.530715 3.51345;0.181529 0.376292 3.47429;0.173292 0.289623 3.47459;0.147214 0.0262562 3.46473;0.110423 -0.32991 3.44065;0.204041 0.221386 3.30479;-0.0707445 0.0842835 3.30479;-0.316289 0.0149745 3.11069;-0.390971 0.017716 3.11403;-0.465799 -0.016155 3.10078;
1523791444854;0.15213 0.530963 3.51272;0.181482 0.37665 3.47476;0.173264 0.289901 3.47495;0.147254 0.0263081 3.4649;0.110688 -0.33021 3.44081;0.204053 0.2214 3.30469;-0.0485703 0.0937256 3.30469;-0.308943 0.0385255 3.12734;-0.39084 0.0247549 3.11441;-0.460102 0.00535815 3.09338;
1523791444885;0.15215 0.530874 3.51281;0.181503 0.376535 3.47464;0.173295 0.289847 3.47478;0.147417 0.0264828 3.46437;0.111372 -0.329522 3.43937;0.204024 0.221368 3.30459;-0.0377542 0.106472 3.30459;-0.38025 0.027197 3.11451;-0.433241 0.0220449 3.11289;-0.503752 -0.00256539 3.10647;
1523791444919;0.151713 0.530966 3.51271;0.181407 0.376713 3.47465;0.173143 0.290128 3.47478;0.147123 0.0270066 3.46442;0.110975 -0.328913 3.43954;0.203907 0.221524 3.30471;-0.0384404 0.104038 3.30471;-0.382974 0.0320375 3.11854;-0.439655 0.0237925 3.11411;-0.5177 -0.0046814 3.10996;
1523791444952;0.151645 0.530929 3.51239;0.181365 0.376725 3.47465;0.173071 0.290225 3.47477;0.146976 0.0277233 3.46437;0.110878 -0.326925 3.43947;0.204013 0.221645 3.3047;-0.0319936 0.101707 3.3047;-0.375533 0.0344498 3.11814;-0.451343 0.0260453 3.1161;-0.530222 0.00465616 3.11905;
1523791444985;0.152086 0.530813 3.51261;0.180386 0.376276 3.47465;0.172208 0.289957 3.47483;0.146381 0.0277279 3.46461;0.110465 -0.326788 3.44004;0.203973 0.221803 3.30469;-0.0349191 0.10524 3.30469;-0.37828 0.0363778 3.11844;-0.439956 0.0325019 3.11493;-0.516611 0.0134278 3.10883;
1523791445019;0.151968 0.530631 3.51208;0.180357 0.376174 3.47455;0.172213 0.289775 3.47458;0.146766 0.0269834 3.46353;0.112211 -0.329482 3.4368;0.203323 0.221918 3.30416;-0.0838448 0.0917536 3.30416;-0.392112 0.0342541 3.115;-0.441392 0.0361376 3.11602;-0.528145 0.00804832 3.11345;
1523791445052;0.152009 0.530457 3.51199;0.180094 0.375929 3.47439;0.171959 0.289536 3.47442;0.146555 0.0267131 3.46344;0.111979 -0.329882 3.4369;0.203265 0.221892 3.30417;-0.0836677 0.09197 3.30417;-0.395104 0.0353633 3.11464;-0.443162 0.0374635 3.1165;-0.518853 0.0165154 3.10846;
1523791445086;0.151928 0.530628 3.51208;0.180016 0.376045 3.4741;0.171841 0.289674 3.47426;0.146186 0.0270211 3.46364;0.110397 -0.32885 3.43907;0.203205 0.22205 3.30407;-0.0832093 0.0922411 3.30407;-0.392136 0.0371637 3.11654;-0.441837 0.0405666 3.11733;-0.515046 0.0207744 3.11096;
1523791445119;0.151403 0.530527 3.51133;0.179515 0.376 3.47374;0.171339 0.289657 3.47406;0.145486 0.0270157 3.46401;0.109058 -0.328964 3.44107;0.203098 0.222327 3.3041;-0.0652688 0.112458 3.3041;-0.361546 0.0587704 3.12595;-0.441203 0.0489338 3.11877;-0.523049 0.0319909 3.11519;
1523791445152;0.151516 0.530489 3.51126;0.179209 0.375921 3.474;0.171039 0.289562 3.47429;0.145222 0.0268084 3.46425;0.108926 -0.329393 3.44121;0.202715 0.22236 3.30396;-0.0502896 0.118556 3.30396;-0.359763 0.0583099 3.12621;-0.447734 0.0491829 3.12001;-0.530629 0.0328186 3.119;
1523791445186;0.151478 0.530504 3.51074;0.17924 0.376014 3.47394;0.171051 0.289746 3.47417;0.145134 0.0273516 3.46393;0.108702 -0.328129 3.44028;0.202647 0.222382 3.30398;-0.0525159 0.118443 3.30398;-0.359964 0.0583039 3.12628;-0.449166 0.0525284 3.12252;-0.529521 0.0357548 3.12154;
1523791445220;0.151049 0.530398 3.51065;0.179188 0.375923 3.47341;0.170937 0.289674 3.47368;0.144916 0.027281 3.46362;0.108385 -0.328279 3.44004;0.202572 0.222349 3.304;-0.0550564 0.119549 3.304;-0.35823 0.0593734 3.12689;-0.451814 0.0561991 3.12386;-0.531689 0.0369098 3.12284;
1523791445252;0.150935 0.53003 3.50999;0.178705 0.375566 3.47334;0.170398 0.289451 3.47351;0.144081 0.0274361 3.46315;0.106986 -0.327293 3.4387;0.202628 0.222063 3.30404;-0.0877231 0.100658 3.30404;-0.414536 0.0618481 3.12723;-0.46338 0.0574565 3.1263;-0.551351 0.0490618 3.13004;
1523791445289;0.15028 0.529935 3.5094;0.177927 0.375378 3.47229;0.169616 0.289199 3.47265;0.143363 0.0269545 3.46281;0.10619 -0.328495 3.43897;0.202183 0.221886 3.30366;-0.0559171 0.118007 3.30366;-0.338967 0.073849 3.13317;-0.446117 0.0620042 3.12193;-0.522825 0.0476236 3.12139;
1523791445320;0.150282 0.530041 3.50934;0.177695 0.375401 3.47199;0.169383 0.289227 3.47237;0.143204 0.026957 3.46267;0.106163 -0.328521 3.43894;0.20206 0.221869 3.30361;-0.0891718 0.115356 3.30361;-0.345618 0.0729197 3.13181;-0.453202 0.0655265 3.12381;-0.530959 0.0475776 3.11938;
1523791445353;0.149849 0.529432 3.50811;0.177354 0.374938 3.47163;0.169082 0.288967 3.47202;0.142972 0.0270931 3.46232;0.106046 -0.327593 3.43834;0.202021 0.221907 3.30364;-0.0908106 0.115971 3.30364;-0.347076 0.0727695 3.13153;-0.454161 0.0696299 3.12332;-0.531789 0.0539423 3.12345;
1523791445385;0.149886 0.529564 3.50801;0.177014 0.374996 3.47156;0.168749 0.288995 3.47191;0.142709 0.0270147 3.46214;0.105927 -0.327932 3.43805;0.200452 0.220805 3.3042;-0.0667417 0.12765 3.3042;-0.323476 0.0852755 3.13872;-0.433804 0.0752593 3.12512;-0.504792 0.0614049 3.11441;
1523791445421;0.149521 0.52979 3.50727;0.176548 0.375259 3.47126;0.168238 0.289313 3.47157;0.142163 0.0274613 3.46178;0.105544 -0.327473 3.43777;0.199018 0.220766 3.30392;-0.085577 0.127864 3.30392;-0.348097 0.0865959 3.13303;-0.454816 0.0778956 3.12422;-0.530358 0.0585573 3.11992;
1523791445453;0.149694 0.529703 3.50722;0.175983 0.375028 3.47121;0.16762 0.289102 3.47151;0.141441 0.0273069 3.46173;0.104844 -0.327593 3.43776;0.197863 0.220368 3.30371;-0.0805477 0.123009 3.30371;-0.338872 0.0931155 3.13928;-0.425977 0.0861523 3.12705;-0.497359 0.0756006 3.11712;
1523791445486;0.149096 0.52951 3.50669;0.17586 0.374947 3.47081;0.16745 0.289012 3.47101;0.141147 0.0271765 3.46096;0.104454 -0.327861 3.43662;0.197254 0.219808 3.30329;-0.0720407 0.128884 3.30329;-0.329736 0.0953156 3.13765;-0.388723 0.0937584 3.12995;-0.455034 0.0879012 3.11142;
1523791445519;0.149254 0.529385 3.50614;0.175795 0.374879 3.47091;0.167402 0.288949 3.47104;0.1411 0.0270272 3.46083;0.104511 -0.328396 3.43582;0.196312 0.219516 3.30319;-0.0715342 0.129613 3.30319;-0.329123 0.0952334 3.13778;-0.387272 0.0973583 3.12989;-0.455411 0.0940911 3.11492;
1523791445552;0.149018 0.529187 3.50632;0.174168 0.374327 3.47053;0.16594 0.288461 3.47068;0.140175 0.0267206 3.46059;0.104197 -0.328522 3.43577;0.195884 0.219367 3.30331;-0.0700263 0.131149 3.30331;-0.35201 0.0908949 3.1351;-0.455284 0.0963109 3.12782;-0.531197 0.0868953 3.11831;
1523791445585;0.149068 0.529264 3.5064;0.174037 0.374313 3.47024;0.165734 0.288442 3.47037;0.139703 0.0266754 3.46024;0.103335 -0.328623 3.43548;0.195491 0.219631 3.30343;-0.141991 0.123763 3.30343;-0.444311 0.104001 3.1311;-0.498204 0.092924 3.1341;-0.588496 0.0784907 3.14701;
1523791445618;0.148311 0.52957 3.50695;0.173745 0.374574 3.4699;0.165396 0.288778 3.47005;0.139233 0.0272927 3.46001;0.102718 -0.327476 3.43554;0.193425 0.220274 3.30284;-0.14644 0.123278 3.30284;-0.444283 0.10389 3.13099;-0.499646 0.0956424 3.13433;-0.584593 0.0795622 3.14441;
1523791445653;0.148171 0.529853 3.50664;0.173159 0.37476 3.46954;0.164699 0.289004 3.46965;0.138243 0.0276348 3.45951;0.10146 -0.327017 3.43501;0.191035 0.220344 3.3019;-0.140126 0.128133 3.3019;-0.433817 0.0979723 3.12816;-0.496501 0.098352 3.13218;-0.587215 0.084077 3.14541;
1523791445687;0.148054 0.529992 3.50657;0.172646 0.37485 3.46967;0.164232 0.289068 3.46967;0.137843 0.0276279 3.45927;0.101088 -0.327185 3.43422;0.189813 0.219929 3.30136;-0.152344 0.129079 3.30136;-0.434947 0.0971357 3.12766;-0.497444 0.100894 3.13287;-0.586139 0.0851777 3.14128;
1523791445720;0.14751 0.529987 3.50487;0.172153 0.375088 3.46958;0.163762 0.289259 3.46954;0.137456 0.0276848 3.45901;0.100821 -0.327316 3.43379;0.189472 0.220186 3.30147;-0.152772 0.129081 3.30147;-0.436843 0.0974739 3.12573;-0.498352 0.100646 3.13454;-0.586834 0.0834257 3.1463;
1523791445754;0.147653 0.530616 3.50491;0.171365 0.375428 3.4689;0.163002 0.28956 3.46895;0.136848 0.0278665 3.45869;0.100455 -0.327262 3.43377;0.18873 0.220341 3.30137;-0.148546 0.132061 3.30137;-0.438177 0.0978363 3.12632;-0.504426 0.102833 3.13826;-0.595579 0.0888158 3.1484;
1523791445786;0.147582 0.530585 3.50474;0.170823 0.375364 3.46936;0.162459 0.28959 3.46932;0.13626 0.0281707 3.45889;0.0997278 -0.326436 3.43379;0.188237 0.220328 3.30149;-0.140919 0.13346 3.30149;-0.438889 0.0979154 3.12668;-0.502656 0.104535 3.13787;-0.588619 0.093974 3.14891;
1523791445818;0.147759 0.530569 3.50461;0.169928 0.375133 3.46929;0.161671 0.289532 3.46925;0.135665 0.0285511 3.45879;0.0992787 -0.325142 3.43369;0.187953 0.220797 3.3016;-0.140762 0.13391 3.3016;-0.438951 0.0979202 3.12662;-0.502445 0.10568 3.13719;-0.586415 0.0919188 3.14407;
1523791445852;0.147032 0.530655 3.50373;0.169466 0.375313 3.46877;0.16122 0.289797 3.46876;0.135276 0.0290974 3.45839;0.0990626 -0.324209 3.43346;0.186775 0.22104 3.30113;-0.140975 0.134205 3.30113;-0.448974 0.133052 3.14278;-0.512076 0.111863 3.14155;-0.598796 0.102844 3.15752;
1523791445886;0.147014 0.530636 3.50335;0.169482 0.375351 3.46877;0.161217 0.289807 3.46876;0.135191 0.0290509 3.45838;0.0986513 -0.324655 3.43347;0.186546 0.221149 3.30109;-0.140605 0.135406 3.30109;-0.448615 0.133873 3.14335;-0.510688 0.116049 3.14064;-0.597987 0.102701 3.15327;
1523791445920;0.147151 0.530743 3.50262;0.169358 0.375507 3.46864;0.16108 0.28987 3.4687;0.134832 0.0288189 3.45851;0.0976435 -0.326197 3.43446;0.18553 0.221211 3.30074;-0.140333 0.136367 3.30074;-0.448261 0.1346 3.14415;-0.509023 0.118423 3.14204;-0.59374 0.10665 3.1433;
1523791445952;0.146628 0.530654 3.50167;0.168749 0.37565 3.46916;0.16033 0.290135 3.46934;0.133706 0.0295774 3.45958;0.0961954 -0.324332 3.43622;0.185369 0.221138 3.30086;-0.140444 0.138406 3.30086;-0.448295 0.134861 3.14405;-0.511977 0.120845 3.14443;-0.594813 0.106831 3.149;
1523791445985;0.14633 0.53042 3.50007;0.168689 0.375719 3.46904;0.160251 0.290176 3.46927;0.133521 0.0295507 3.45965;0.0957617 -0.32456 3.4367;0.18466 0.220963 3.30107;-0.140945 0.139874 3.30107;-0.448675 0.135623 3.14389;-0.511018 0.124115 3.14631;-0.606297 0.112852 3.16239;
1523791446018;0.146024 0.530758 3.50007;0.168109 0.375897 3.46852;0.159675 0.290384 3.46865;0.133068 0.0298317 3.45865;0.0957438 -0.324048 3.43472;0.184347 0.220942 3.30119;-0.143089 0.142195 3.30119;-0.449461 0.137154 3.1453;-0.511046 0.127614 3.14819;-0.598744 0.115703 3.1562;
1523791446051;0.145464 0.531137 3.50046;0.167616 0.376065 3.46778;0.159305 0.290443 3.46786;0.133117 0.0295159 3.45759;0.0969827 -0.325304 3.43268;0.183958 0.22131 3.30157;-0.143954 0.143611 3.30157;-0.434901 0.134254 3.14503;-0.50079 0.132805 3.14804;-0.589842 0.126541 3.1524;
1523791446085;0.145292 0.531299 3.50064;0.167346 0.376008 3.46683;0.159046 0.290403 3.46723;0.132969 0.0295004 3.45752;0.0966409 -0.325253 3.43325;0.183595 0.221491 3.30166;-0.144108 0.144046 3.30166;-0.431593 0.135721 3.14443;-0.498177 0.136096 3.14747;-0.588388 0.132721 3.1513;
1523791446119;0.145235 0.531845 3.50079;0.166292 0.376359 3.46684;0.158019 0.290786 3.46731;0.132069 0.029974 3.45789;0.0958569 -0.324444 3.43426;0.183504 0.221464 3.30184;-0.143892 0.144727 3.30184;-0.437507 0.139958 3.14685;-0.502408 0.139357 3.14931;-0.589375 0.137075 3.15315;
1523791446153;0.144444 0.531516 3.50031;0.166112 0.37617 3.46669;0.157783 0.290565 3.46719;0.131634 0.029606 3.45795;0.0950883 -0.325063 3.43478;0.183423 0.221595 3.30188;-0.145433 0.14571 3.30188;-0.439933 0.138267 3.14584;-0.506506 0.141423 3.14842;-0.597892 0.138834 3.14983;
1523791446187;0.144428 0.531582 3.49995;0.166079 0.376226 3.46641;0.157768 0.290646 3.46685;0.131734 0.0297797 3.45746;0.0955327 -0.324637 3.434;0.183138 0.221625 3.30211;-0.146596 0.146845 3.30211;-0.441592 0.140649 3.14653;-0.506918 0.145216 3.1526;-0.600137 0.139939 3.16239;
1523791446220;0.144383 0.531631 3.49946;0.16538 0.376187 3.46624;0.156977 0.290667 3.46677;0.13057 0.0300322 3.45784;0.0936309 -0.323766 3.4355;0.183057 0.221654 3.30212;-0.150128 0.14871 3.30212;-0.442985 0.142173 3.14656;-0.509036 0.148406 3.15049;-0.599151 0.141608 3.15849;
1523791446252;0.143995 0.531838 3.49897;0.16512 0.376471 3.46612;0.15677 0.290801 3.46668;0.130419 0.0298837 3.45777;0.0935065 -0.324974 3.43536;0.18226 0.221789 3.30244;-0.152614 0.149938 3.30244;-0.443389 0.142204 3.14658;-0.508843 0.149969 3.15367;-0.600394 0.144211 3.16306;
1523791446285;0.143357 0.531794 3.4988;0.16473 0.376508 3.46619;0.156399 0.290882 3.46675;0.130148 0.0300685 3.45789;0.0933843 -0.324503 3.43556;0.182242 0.221773 3.30244;-0.154516 0.151417 3.30244;-0.443522 0.142346 3.14659;-0.510649 0.153002 3.15421;-0.599908 0.144093 3.1605;
1523791446322;0.142994 0.532315 3.49824;0.164175 0.377011 3.46577;0.156002 0.291259 3.46641;0.130105 0.030153 3.45775;0.0936776 -0.324545 3.43543;0.182163 0.221663 3.30257;-0.155653 0.153464 3.30257;-0.443384 0.143799 3.14774;-0.508915 0.157351 3.15587;-0.600025 0.153252 3.16484;
1523791446359;0.141543 0.532359 3.49807;0.164022 0.37731 3.46586;0.155892 0.291467 3.46646;0.130101 0.0301696 3.45775;0.0938325 -0.324652 3.43536;0.181745 0.221862 3.30301;-0.158258 0.155216 3.30301;-0.429799 0.150203 3.15041;-0.50247 0.161119 3.15556;-0.589982 0.159522 3.15848;
1523791446387;0.141124 0.532014 3.49704;0.163548 0.377257 3.46648;0.155567 0.291392 3.46687;0.130071 0.0300651 3.45783;0.0942451 -0.325063 3.43516;0.181366 0.221998 3.30336;-0.159841 0.15712 3.30336;-0.423196 0.152288 3.15123;-0.505152 0.163584 3.1568;-0.590336 0.151757 3.16028;
1523791446419;0.141471 0.53228 3.49703;0.16346 0.377429 3.46637;0.155435 0.291647 3.46686;0.129766 0.0307938 3.45836;0.0937444 -0.323004 3.43744;0.180826 0.222265 3.30349;-0.16097 0.158821 3.30349;-0.437081 0.152132 3.14884;-0.507424 0.16443 3.15575;-0.594837 0.154676 3.16148;
1523791446452;0.14118 0.532243 3.49683;0.163269 0.37748 3.46655;0.155169 0.291682 3.46715;0.129346 0.0306416 3.45906;0.0932607 -0.323618 3.43866;0.180698 0.222425 3.30373;-0.162369 0.160802 3.30373;-0.440409 0.155247 3.14998;-0.509333 0.167727 3.15685;-0.59638 0.163969 3.16216;
1523791446484;0.141205 0.532366 3.4967;0.162844 0.377593 3.46678;0.154762 0.291932 3.46734;0.129025 0.0314011 3.4591;0.0932973 -0.321357 3.43806;0.18102 0.222716 3.3038;-0.164622 0.162146 3.3038;-0.444331 0.160115 3.15234;-0.515856 0.171813 3.15931;-0.604511 0.16565 3.15981;
