Time;Head;Neck;Spine Shoulder;Spine Mid;Spine Base;R Shoulder;R Elbow;R Wrist;R Hand;R Hand Tip;
1523791441685;0.139198 0.495307 3.47624;0.176669 0.350017 3.46542;0.175845 0.263029 3.46557;0.176818 -0.000577636 3.44991;0.187281 -0.357713 3.41166;0.212852 0.202673 3.30995;0.0679054 -0.015718 3.30995;-0.119607 -0.187778 3.12932;-0.181885 -0.251682 3.10807;-0.23835 -0.313296 3.09684;
1523791441720;0.139137 0.495201 3.47628;0.177851 0.350136 3.46504;0.177854 0.262904 3.46488;0.180351 -0.00231264 3.4498;0.189905 -0.363139 3.41538;0.213819 0.202218 3.30973;0.0672755 -0.0151355 3.30973;-0.157311 -0.244091 3.10782;-0.231341 -0.297683 3.11067;-0.286654 -0.362243 3.12542;
1523791441752;0.139686 0.4946 3.47572;0.178623 0.349898 3.46528;0.179509 0.26163 3.46511;0.185738 -0.0116836 3.45122;0.1976 -0.393476 3.42248;0.214392 0.201891 3.30932;0.0664495 -0.0144288 3.30932;-0.121338 -0.185124 3.12636;-0.159437 -0.223179 3.11219;-0.220609 -0.28685 3.08466;
1523791441786;0.139611 0.494464 3.4754;0.179343 0.350196 3.46549;0.180497 0.261424 3.46523;0.187224 -0.013585 3.45154;0.198016 -0.394711 3.42273;0.214514 0.201776 3.30927;0.0654262 -0.0136009 3.30927;-0.136382 -0.208143 3.12152;-0.208613 -0.264729 3.10505;-0.262211 -0.334688 3.10283;
1523791441821;0.142903 0.494987 3.4732;0.18128 0.350597 3.46409;0.181497 0.2615 3.46385;0.185134 -0.0134524 3.44955;0.17878 -0.389212 3.41651;0.215207 0.200776 3.30747;0.0641921 -0.0131638 3.30747;-0.123362 -0.181765 3.1192;-0.192071 -0.245194 3.09955;-0.245993 -0.312274 3.08684;
1523791441853;0.14513 0.495454 3.47348;0.182446 0.350699 3.46423;0.182244 0.261632 3.46363;0.18468 -0.0124452 3.4484;0.177581 -0.38419 3.41317;0.21597 0.200479 3.30759;0.063426 -0.0122056 3.30759;-0.126364 -0.179044 3.12018;-0.182411 -0.229505 3.10681;-0.237601 -0.295467 3.08695;
1523791441886;0.14728 0.496737 3.47567;0.182974 0.351098 3.46526;0.181969 0.261889 3.4641;0.173336 -0.0103947 3.4487;0.141217 -0.378497 3.41296;0.216207 0.200358 3.30765;0.0625962 -0.0114926 3.30765;-0.127723 -0.178458 3.12141;-0.183986 -0.227925 3.10883;-0.238824 -0.293737 3.09283;
1523791441920;0.147815 0.498084 3.47602;0.183457 0.352167 3.46491;0.181582 0.262783 3.46402;0.167932 -0.00847445 3.45073;0.135088 -0.377125 3.42167;0.217024 0.201058 3.30776;0.062572 -0.0100102 3.30776;-0.150908 -0.201498 3.11761;-0.233407 -0.26394 3.10567;-0.283382 -0.324159 3.10713;
1523791441953;0.158811 0.501537 3.47728;0.183447 0.352529 3.46474;0.180998 0.26346 3.46357;0.165657 -0.00698497 3.44905;0.134564 -0.374983 3.4187;0.21735 0.201048 3.30781;0.062113 -0.00941833 3.30781;-0.135198 -0.168598 3.12189;-0.200435 -0.233323 3.10393;-0.255197 -0.304769 3.09624;
1523791441986;0.161744 0.503327 3.47885;0.18368 0.353232 3.46452;0.180697 0.264139 3.46355;0.16388 -0.00606341 3.4501;0.132644 -0.373941 3.42214;0.217836 0.201552 3.30765;0.0614073 -0.00810312 3.30765;-0.133619 -0.169721 3.12128;-0.206185 -0.23181 3.10085;-0.259946 -0.28805 3.08737;
1523791442021;0.159451 0.503769 3.48049;0.18354 0.353618 3.46475;0.179912 0.26448 3.46408;0.160884 -0.00709025 3.45239;0.128725 -0.378159 3.42735;0.218293 0.201802 3.3073;0.0605295 -0.00649345 3.3073;-0.143892 -0.182296 3.11763;-0.225885 -0.243411 3.1012;-0.282957 -0.304663 3.09553;
1523791442056;0.160914 0.504344 3.48127;0.183406 0.353708 3.4649;0.179329 0.264567 3.46441;0.159832 -0.00727765 3.45302;0.128379 -0.378304 3.42782;0.218625 0.201836 3.30704;0.0592847 -0.00535215 3.30704;-0.143404 -0.179398 3.1186;-0.228186 -0.240898 3.10183;-0.287895 -0.296889 3.0966;
1523791442092;0.162199 0.50612 3.48427;0.182908 0.354735 3.46643;0.178221 0.265425 3.46605;0.158302 -0.00707694 3.45463;0.127469 -0.378516 3.42891;0.218991 0.202382 3.30674;0.0593491 -0.00398128 3.30674;-0.141564 -0.160366 3.12167;-0.233659 -0.242102 3.10288;-0.297423 -0.304724 3.09632;
1523791442122;0.154049 0.505751 3.487;0.182891 0.355179 3.46648;0.177457 0.266403 3.46702;0.152456 -0.00293908 3.46481;0.110481 -0.365794 3.46576;0.219636 0.202765 3.3067;0.0583667 -0.00251962 3.3067;-0.14443 -0.166888 3.12048;-0.23929 -0.244095 3.10181;-0.297514 -0.31327 3.09742;
1523791442157;0.155862 0.506598 3.4871;0.182887 0.355565 3.46634;0.177384 0.266547 3.46693;0.153067 -0.00382165 3.4633;0.123351 -0.378688 3.44178;0.219984 0.203161 3.30668;0.0577946 -0.00155354 3.30668;-0.138965 -0.162316 3.12102;-0.214413 -0.221417 3.10254;-0.274165 -0.283982 3.09074;
1523791442185;0.156299 0.507136 3.48765;0.182777 0.35585 3.46638;0.177188 0.266693 3.46699;0.153077 -0.00415884 3.46302;0.123374 -0.378965 3.44158;0.220137 0.203761 3.30643;0.0568563 -0.000166351 3.30643;-0.139898 -0.161257 3.1216;-0.215648 -0.218321 3.10284;-0.270384 -0.27939 3.08935;
1523791442219;0.155362 0.50794 3.48837;0.182708 0.356651 3.46645;0.176963 0.267283 3.46706;0.153086 -0.00406831 3.46274;0.123328 -0.378683 3.44118;0.219491 0.205287 3.30607;0.0565125 0.00106743 3.30607;-0.140905 -0.159317 3.12157;-0.215656 -0.216185 3.10105;-0.269328 -0.279114 3.09261;
1523791442253;0.150685 0.508522 3.49185;0.182527 0.357395 3.46651;0.176799 0.26792 3.46671;0.154825 -0.00341185 3.45672;0.130028 -0.376415 3.42102;0.219489 0.205359 3.306;0.0555199 0.00202807 3.306;-0.142664 -0.157863 3.12209;-0.217198 -0.212642 3.10403;-0.273214 -0.27362 3.08255;
1523791442287;0.153356 0.509626 3.49244;0.182369 0.357756 3.46673;0.176685 0.268091 3.46668;0.155185 -0.00381554 3.45505;0.130305 -0.377181 3.41938;0.219313 0.205596 3.30568;0.05487 0.00243713 3.30568;-0.143328 -0.1571 3.12173;-0.218965 -0.211414 3.10181;-0.274206 -0.275597 3.09115;
1523791442320;0.150662 0.509322 3.49234;0.182486 0.358122 3.46674;0.177019 0.268287 3.46686;0.160075 -0.00568294 3.45791;0.147889 -0.385508 3.43857;0.219316 0.205999 3.30462;0.0539067 0.00333551 3.30462;-0.14561 -0.155172 3.12267;-0.222235 -0.210356 3.10344;-0.280508 -0.275163 3.08788;
1523791442352;0.154774 0.511581 3.49307;0.182485 0.359208 3.46648;0.176807 0.269313 3.46661;0.158987 -0.00452538 3.45745;0.135061 -0.378096 3.43471;0.21877 0.209862 3.30458;0.0545211 0.00610678 3.30458;-0.145392 -0.152145 3.12346;-0.224021 -0.208849 3.10398;-0.280749 -0.275382 3.09046;
1523791442385;0.157442 0.513421 3.49445;0.182043 0.360127 3.46654;0.175973 0.270391 3.46706;0.155884 -0.00273119 3.46006;0.125433 -0.37418 3.44327;0.218727 0.209817 3.30467;0.0536912 0.00673974 3.30467;-0.147198 -0.150322 3.12353;-0.223889 -0.202972 3.10358;-0.279485 -0.266048 3.08416;
1523791442421;0.158664 0.51502 3.49483;0.181929 0.361459 3.46692;0.175511 0.271908 3.46749;0.154246 -0.000602681 3.46026;0.122099 -0.370663 3.44185;0.217461 0.21139 3.30463;0.0532007 0.00744535 3.30463;-0.154334 -0.138128 3.11969;-0.173284 -0.160117 3.11608;-0.239129 -0.222702 3.07594;
