Time;Head;Neck;Spine Shoulder;Spine Mid;Spine Base;R Shoulder;L Shoulder;R Elbow;L Elbow;R Wrist;L Wrist;R Hand;L Hand;R Hand Tip;L Hand Tip;R Thumb;L Thumb;R Hip;L Hip;R Knee;L Knee;R Ankle;L Ankle;R Foot;L Foot;Frame No.;
1525193540950;0.452336 0.29408 2.28813;0.425298 0.143465 2.25391;0.424261 0.0683 2.24854;0.418914 -0.16137 2.22223;0.408896 -0.474377 2.17532;0.584667 0.0394535 2.25095;0.253316 0.0512284 2.23121;0.768174 0.0883749 2.25095;0.0125358 0.101085 2.2149;0.658541 0.289538 2.17529;0.150123 0.266051 2.15832;0.621495 0.328896 2.17286;0.185231 0.300531 2.16225;0.578076 0.388383 2.171;0.235971 0.353821 2.14754;0.572218 0.276556 2.14618;0.211547 0.270562 2.14375;0.479124 -0.469653 2.14798;0.325199 -0.464445 2.13511;0.491798 -0.784379 2.14364;0.264121 -0.790945 2.06769;0.464877 -1.16109 2.18332;0.191856 -1.12397 2.05498;0.444868 -1.22453 2.12118;0.182947 -1.14719 1.93066;49;
1525193540983;0.447204 0.294956 2.28691;0.422931 0.142994 2.25212;0.422171 0.0679331 2.24704;0.417736 -0.161501 2.22163;0.4086 -0.47436 2.17541;0.582724 0.0417614 2.24781;0.251076 0.0514406 2.23271;0.768549 0.0885579 2.24781;0.00981231 0.0985233 2.22097;0.65812 0.288276 2.17342;0.152773 0.265368 2.1608;0.619494 0.328095 2.16733;0.184984 0.297531 2.1641;0.576022 0.38582 2.1633;0.237827 0.350243 2.15543;0.571944 0.276429 2.14518;0.208961 0.261871 2.13793;0.478667 -0.469143 2.14695;0.324453 -0.464872 2.13643;0.493377 -0.776625 2.14242;0.264175 -0.79144 2.0683;0.465391 -1.16069 2.18301;0.202811 -1.10154 2.05257;0.44479 -1.22371 2.12009;0.193637 -1.12407 1.92774;50;
1525193541051;0.437585 0.296801 2.28452;0.420361 0.142244 2.24879;0.41995 0.0673807 2.24428;0.416581 -0.161605 2.22048;0.408443 -0.474267 2.17544;0.57902 0.0456974 2.24266;0.248033 0.0507965 2.234;0.76976 0.0902098 2.24266;0.00704565 0.0918729 2.22866;0.655409 0.288031 2.16735;0.153194 0.263837 2.16217;0.615262 0.325708 2.1576;0.180781 0.292762 2.16377;0.569846 0.388681 2.15078;0.234594 0.346894 2.15271;0.573902 0.274836 2.14212;0.207844 0.262269 2.13829;0.478355 -0.468338 2.14592;0.324176 -0.465053 2.13713;0.49356 -0.777076 2.14242;0.264138 -0.791885 2.06852;0.466156 -1.1599 2.18234;0.193509 -1.12762 2.0504;0.444752 -1.22295 2.11951;0.181819 -1.14893 1.92542;51;
1525193541150;0.427899 0.298721 2.28001;0.416379 0.142821 2.24559;0.416463 0.0679809 2.24147;0.414617 -0.161 2.21896;0.408129 -0.473847 2.17537;0.575943 0.0488666 2.23639;0.243262 0.0507788 2.23648;0.770285 0.094314 2.23639;0.00834502 0.0863576 2.23709;0.650746 0.287863 2.16076;0.151815 0.260069 2.16506;0.607891 0.324513 2.151;0.176571 0.291522 2.16683;0.555085 0.383209 2.13866;0.218939 0.341843 2.14527;0.569413 0.285088 2.14927;0.224428 0.291166 2.1375;0.477763 -0.466083 2.14323;0.323775 -0.465107 2.1383;0.49373 -0.777193 2.14228;0.264102 -0.791873 2.06853;0.468167 -1.15507 2.18248;0.197148 -1.11202 2.05847;0.445923 -1.21891 2.12187;0.182508 -1.13513 1.93432;52;
1525193541184;0.422971 0.298674 2.27766;0.41369 0.142433 2.24168;0.414002 0.067756 2.23815;0.412969 -0.16082 2.21733;0.407646 -0.473425 2.17543;0.573569 0.0504057 2.2309;0.240622 0.0506756 2.23826;0.768401 0.103581 2.2309;0.00765693 0.0836663 2.23995;0.647484 0.288173 2.15706;0.143068 0.246326 2.16933;0.605653 0.324052 2.15003;0.175655 0.286111 2.16647;0.554049 0.382496 2.13466;0.219358 0.335405 2.14404;0.566321 0.287145 2.14429;0.202666 0.259215 2.14117;0.477045 -0.464767 2.14198;0.323253 -0.465213 2.13952;0.493537 -0.778052 2.1423;0.264004 -0.791849 2.06864;0.469033 -1.1561 2.18144;0.19579 -1.12208 2.05552;0.445851 -1.22007 2.12142;0.144878 -1.17339 1.99966;53;
1525193541565;0.388314 0.298702 2.26002;0.411782 0.144178 2.23683;0.412224 0.0692345 2.23382;0.411697 -0.16001 2.2147;0.407421 -0.473205 2.17514;0.566865 0.0564113 2.21152;0.237504 0.0495286 2.24028;0.762797 0.121358 2.21152;0.00356385 0.0625184 2.23914;0.619155 0.273564 2.12027;0.14507 0.224925 2.15866;0.568416 0.30403 2.11325;0.171363 0.241067 2.13993;0.518368 0.336164 2.08058;0.213385 0.292953 2.08493;0.519608 0.263035 2.09537;0.21299 0.223077 2.14917;0.47634 -0.462743 2.13741;0.32315 -0.465843 2.14104;0.493691 -0.779369 2.14231;0.264293 -0.793448 2.06936;0.469143 -1.15654 2.18156;0.193174 -1.12846 2.05345;0.447164 -1.22189 2.1244;0.143451 -1.17728 1.98986;54;
1525193541631;0.37881 0.297736 2.2548;0.409727 0.14478 2.23355;0.41032 0.0697488 2.23074;0.410321 -0.159726 2.21243;0.40712 -0.473092 2.17466;0.562478 0.0564684 2.20397;0.235411 0.0489461 2.24121;0.760827 0.122806 2.20397;0.026435 0.0655846 2.23023;0.61847 0.272057 2.11896;0.153871 0.218949 2.14407;0.56533 0.301417 2.10533;0.19682 0.237501 2.11302;0.517854 0.332858 2.07094;0.240825 0.281539 2.08992;0.51642 0.259337 2.08375;0.23466 0.224554 2.15229;0.475936 -0.461847 2.13467;0.322948 -0.466446 2.14174;0.493707 -0.778954 2.14107;0.264556 -0.79381 2.06969;0.47041 -1.15397 2.18091;0.202546 -1.1076 2.0513;0.44809 -1.21944 2.12401;0.178183 -1.12742 1.92712;55;
1525193541715;0.372366 0.297136 2.25221;0.408927 0.143701 2.23393;0.409691 0.0689883 2.23091;0.410042 -0.159897 2.21229;0.407081 -0.47283 2.17442;0.559993 0.056986 2.19925;0.232127 0.0482617 2.24293;0.757026 0.124781 2.19925;0.0452694 0.0826704 2.21178;0.616386 0.269974 2.11388;0.150602 0.205454 2.12327;0.560013 0.299866 2.09737;0.191713 0.216785 2.1081;0.513172 0.332131 2.0702;0.236578 0.245238 2.09283;0.504807 0.257501 2.07273;0.189405 0.237178 2.09847;0.475922 -0.460166 2.13214;0.323235 -0.467097 2.14334;0.493766 -0.778585 2.13961;0.264847 -0.794844 2.06953;0.470496 -1.15405 2.1809;0.198236 -1.12793 2.05555;0.447978 -1.21953 2.12394;0.171713 -1.14827 1.93223;56;
1525193541764;0.370128 0.297183 2.25189;0.40808 0.143068 2.23421;0.408948 0.0685066 2.23109;0.409596 -0.159996 2.21225;0.406931 -0.472569 2.17439;0.558988 0.0573949 2.19713;0.231439 0.0483321 2.24289;0.755231 0.125636 2.19713;0.0480425 0.086067 2.20727;0.614416 0.269282 2.10971;0.221781 0.222274 2.10105;0.559148 0.298298 2.09396;0.263415 0.230237 2.10192;0.50723 0.328761 2.06043;0.296036 0.248848 2.10018;0.506785 0.257438 2.06964;0.254778 0.261683 2.10429;0.475735 -0.459521 2.13169;0.323184 -0.467349 2.14437;0.493675 -0.777632 2.13782;0.264807 -0.795106 2.0696;0.47121 -1.15662 2.17737;0.199133 -1.11683 2.05396;0.447035 -1.19321 2.06072;0.171882 -1.13669 1.93052;57;
1525193541782;0.368871 0.296536 2.25135;0.407825 0.142785 2.23427;0.408741 0.0683048 2.2311;0.409504 -0.160016 2.21218;0.40701 -0.472255 2.17426;0.558468 0.0576888 2.19522;0.230968 0.0484217 2.24277;0.755155 0.125064 2.19522;0.0587606 0.0996006 2.19555;0.613587 0.26878 2.106;0.240104 0.226102 2.10103;0.558793 0.29782 2.09068;0.27993 0.234792 2.10487;0.507607 0.324518 2.06436;0.314791 0.25056 2.10509;0.510046 0.257946 2.07094;0.285824 0.27362 2.12062;0.475998 -0.45871 2.13083;0.323462 -0.467475 2.1451;0.49376 -0.776399 2.13588;0.26502 -0.795233 2.06967;0.471135 -1.15578 2.17673;0.19093 -1.12952 2.04724;0.447262 -1.22131 2.12072;0.162776 -1.14733 1.92336;58;
1525193541822;0.368583 0.296261 2.25138;0.407478 0.142403 2.23433;0.408379 0.0679813 2.23112;0.409131 -0.160132 2.21209;0.406751 -0.472059 2.17419;0.557959 0.0578211 2.19395;0.230562 0.0485302 2.24257;0.755018 0.125649 2.19395;0.0596512 0.102387 2.19267;0.613195 0.268878 2.10326;0.231951 0.227972 2.10433;0.559637 0.298561 2.08672;0.274055 0.233517 2.10729;0.506997 0.325147 2.06727;0.310875 0.247552 2.10923;0.506879 0.256704 2.06167;0.289265 0.274968 2.13;0.475794 -0.458457 2.13066;0.323236 -0.467612 2.14548;0.493688 -0.766143 2.13168;0.265674 -0.79595 2.07084;0.471135 -1.15576 2.17673;0.197597 -1.1031 2.05502;0.4477 -1.22147 2.12101;0.168718 -1.12251 1.9316;59;
1525193541854;0.368592 0.296236 2.25141;0.407109 0.142142 2.2342;0.40799 0.0677775 2.23097;0.40869 -0.160115 2.21191;0.406346 -0.471582 2.17414;0.557949 0.0582563 2.19179;0.230445 0.0488509 2.24218;0.75655 0.124764 2.19179;0.0599185 0.106646 2.18889;0.61247 0.268376 2.09987;0.229742 0.227305 2.10405;0.560127 0.295193 2.08209;0.271446 0.232076 2.10424;0.50631 0.319577 2.0616;0.306569 0.245987 2.10745;0.509498 0.25584 2.05423;0.284844 0.271343 2.1211;0.475444 -0.457952 2.13047;0.322992 -0.467516 2.14583;0.493773 -0.764584 2.13031;0.266938 -0.795424 2.07147;0.470958 -1.15589 2.17674;0.197562 -1.10196 2.05339;0.448451 -1.22148 2.12003;0.181073 -1.12531 1.92894;60;
1525193541917;0.369034 0.296074 2.25143;0.40648 0.141703 2.23391;0.40743 0.0674595 2.23077;0.408332 -0.160124 2.21186;0.406132 -0.471121 2.17441;0.558365 0.0582165 2.19041;0.229952 0.0502887 2.24116;0.757469 0.124173 2.19041;0.0600197 0.112272 2.18549;0.612461 0.267081 2.09611;0.229123 0.227034 2.10368;0.567045 0.289338 2.0741;0.270099 0.231804 2.10309;0.506029 0.31085 2.06661;0.306767 0.242093 2.10414;0.524961 0.24774 2.05182;0.287073 0.271174 2.12428;0.475256 -0.457373 2.13078;0.322877 -0.467417 2.14643;0.493714 -0.76393 2.12955;0.267411 -0.795981 2.07217;0.47012 -1.15643 2.17675;0.197345 -1.10208 2.05425;0.44923 -1.22195 2.1188;0.18088 -1.12546 1.92975;61;
1525193541957;0.369391 0.295637 2.25124;0.406003 0.141195 2.23355;0.406951 0.0670634 2.23046;0.407878 -0.160191 2.21168;0.405742 -0.470727 2.17449;0.559007 0.0579822 2.18934;0.229392 0.0552005 2.23719;0.75947 0.122554 2.18934;0.0596309 0.115634 2.18322;0.61389 0.264901 2.09276;0.22857 0.227041 2.1031;0.571399 0.284037 2.07071;0.268765 0.231555 2.0992;0.51499 0.305259 2.0561;0.304273 0.244247 2.10263;0.527674 0.242475 2.04338;0.28937 0.275646 2.13075;0.474911 -0.457 2.13079;0.322606 -0.467292 2.14682;0.493668 -0.764113 2.12935;0.267591 -0.796227 2.07299;0.469666 -1.15767 2.17609;0.19738 -1.10202 2.05425;0.448289 -1.22274 2.117;0.182074 -1.12541 1.92952;62;
1525193542032;0.371084 0.295028 2.24969;0.405838 0.140785 2.2332;0.406741 0.0667105 2.23016;0.407583 -0.160345 2.21152;0.405476 -0.470624 2.17457;0.5597 0.0569919 2.18837;0.229435 0.0553227 2.23697;0.762708 0.119136 2.18837;0.0587374 0.119187 2.18031;0.616253 0.259883 2.08722;0.229027 0.225344 2.0979;0.576461 0.274613 2.06465;0.26811 0.227392 2.09168;0.506623 0.295963 2.04612;0.305702 0.237875 2.0931;0.541051 0.231745 2.04725;0.293841 0.268624 2.12117;0.474708 -0.456934 2.13062;0.322207 -0.467313 2.14745;0.493541 -0.763904 2.12893;0.267283 -0.797543 2.07447;0.469264 -1.15789 2.17639;0.196567 -1.10298 2.05477;0.448095 -1.22247 2.11573;0.179639 -1.12572 1.92993;63;
1525193542066;0.372601 0.29464 2.24838;0.40584 0.140488 2.23306;0.4067 0.0664396 2.23002;0.407431 -0.160507 2.21138;0.405316 -0.470605 2.17454;0.560587 0.0561542 2.18761;0.22956 0.057616 2.23403;0.764373 0.116854 2.18761;0.0589273 0.121014 2.17833;0.621674 0.254622 2.08472;0.230361 0.223925 2.09339;0.58054 0.271773 2.06181;0.271115 0.225159 2.08704;0.518681 0.292076 2.04845;0.308802 0.235383 2.09153;0.540645 0.229392 2.03967;0.297455 0.267744 2.11757;0.474597 -0.457052 2.13046;0.322054 -0.467293 2.14761;0.493406 -0.763862 2.12823;0.267891 -0.79631 2.07561;0.469032 -1.15761 2.17664;0.196753 -1.1042 2.05541;0.44784 -1.21904 2.10851;0.180641 -1.12694 1.93039;64;
1525193542083;0.373614 0.293825 2.24671;0.406756 0.141076 2.22198;0.407269 0.0668365 2.22138;0.407372 -0.160359 2.20824;0.405285 -0.470587 2.17459;0.561186 0.0556379 2.1871;0.229422 0.05907 2.2324;0.765916 0.115248 2.1871;0.0592773 0.124345 2.17515;0.624135 0.252844 2.08384;0.23118 0.223094 2.09119;0.582843 0.270695 2.06174;0.271669 0.224911 2.08571;0.512022 0.286807 2.04364;0.308305 0.237233 2.09156;0.541856 0.229856 2.0396;0.299863 0.267219 2.1148;0.474596 -0.457061 2.13049;0.322026 -0.4673 2.14772;0.493382 -0.763935 2.1277;0.268148 -0.796324 2.07614;0.468847 -1.15727 2.1765;0.197289 -1.10147 2.05562;0.435405 -1.21978 2.11878;0.181625 -1.12452 1.93062;65;
1525193542116;0.374462 0.293097 2.24469;0.406389 0.141305 2.21889;0.406952 0.0670142 2.21835;0.40717 -0.160298 2.20617;0.405282 -0.470581 2.17456;0.56145 0.0551558 2.18674;0.229335 0.060117 2.23015;0.767711 0.113353 2.18674;0.0598503 0.125783 2.17364;0.624411 0.252214 2.0827;0.231774 0.222699 2.08843;0.585486 0.267736 2.06021;0.270966 0.223279 2.07945;0.531225 0.283943 2.03225;0.308432 0.234943 2.0838;0.543659 0.225489 2.03867;0.301865 0.266226 2.11;0.474613 -0.457086 2.13049;0.322036 -0.467321 2.14774;0.493412 -0.764211 2.12723;0.268195 -0.796509 2.07632;0.468296 -1.15712 2.17635;0.197207 -1.10387 2.05617;0.438295 -1.22035 2.11758;0.182168 -1.12697 1.93113;66;
