Time;Head;Neck;Spine Shoulder;Spine Mid;Spine Base;R Shoulder;L Shoulder;R Elbow;L Elbow;R Wrist;L Wrist;R Hand;L Hand;R Hand Tip;L Hand Tip;R Thumb;L Thumb;R Hip;L Hip;R Knee;L Knee;R Ankle;L Ankle;R Foot;L Foot;Frame No.;
1525193542849;0.40226 0.298131 2.22235;0.426666 0.142414 2.19567;0.425774 0.068011 2.19485;0.421387 -0.159304 2.18272;0.413725 -0.469 2.1553;0.589187 0.0490516 2.18159;0.256859 0.0704813 2.20383;0.790303 0.105952 2.18159;0.0806255 0.137301 2.12075;0.665508 0.238667 2.07828;0.226488 0.201649 2.02976;0.623915 0.261955 2.05091;0.280525 0.189936 2.04112;0.583178 0.281194 2.01521;0.313482 0.191004 2.01613;0.579829 0.221807 2.04047;0.276243 0.206994 2.03368;0.483519 -0.45822 2.11168;0.330526 -0.464498 2.12937;0.499067 -0.763418 2.115;0.278703 -0.792162 2.0611;0.471736 -1.1476 2.17057;0.199132 -1.10153 2.05025;0.448434 -1.213 2.11623;0.190981 -1.12425 1.92555;75;
1525193542883;0.403575 0.297858 2.22136;0.426456 0.142271 2.19571;0.42569 0.0679469 2.19482;0.421558 -0.159249 2.18223;0.415102 -0.468339 2.15308;0.586074 0.0494436 2.18268;0.258729 0.0716747 2.20276;0.793119 0.104957 2.18268;0.0814591 0.137278 2.11943;0.670416 0.235448 2.07622;0.223372 0.203328 2.02299;0.627923 0.259232 2.04921;0.283119 0.193237 2.04309;0.586298 0.279977 2.0122;0.315398 0.197525 2.02415;0.576103 0.220032 2.03007;0.259062 0.202797 2.03938;0.484625 -0.457734 2.11023;0.332134 -0.463692 2.12627;0.499476 -0.764509 2.11357;0.279649 -0.790877 2.05941;0.471282 -1.14849 2.17066;0.199277 -1.101 2.04947;0.449109 -1.21378 2.11525;0.191727 -1.12365 1.9247;76;
1525193542949;0.403994 0.2958 2.21904;0.426417 0.142219 2.19574;0.425686 0.0679119 2.19482;0.421783 -0.159308 2.18191;0.415877 -0.46842 2.15211;0.584447 0.0494737 2.18327;0.261139 0.0734829 2.20128;0.797895 0.099313 2.18327;0.0830571 0.137632 2.11819;0.673268 0.233608 2.07418;0.225268 0.20466 2.023;0.631541 0.254517 2.04921;0.286894 0.194536 2.05216;0.591892 0.276072 2.00942;0.32167 0.198159 2.02908;0.582451 0.214831 2.03307;0.253791 0.205031 2.04971;0.485392 -0.457879 2.10938;0.332875 -0.463716 2.12523;0.500103 -0.765892 2.1124;0.28037 -0.790293 2.05911;0.471059 -1.14945 2.17017;0.199397 -1.10086 2.04897;0.448841 -1.2148 2.11508;0.192493 -1.12348 1.92415;77;
1525193542984;0.404294 0.295352 2.21795;0.428068 0.142465 2.19507;0.427325 0.0681523 2.19401;0.423316 -0.159101 2.18078;0.416774 -0.468399 2.15112;0.589778 0.0473371 2.18143;0.262924 0.0743131 2.20082;0.79823 0.0985182 2.18143;0.0845092 0.137799 2.11729;0.674602 0.230895 2.07336;0.288419 0.205449 2.03276;0.6324 0.250157 2.04824;0.332717 0.200343 2.04359;0.594352 0.274017 2.00644;0.36472 0.210711 2.03756;0.582288 0.209245 2.03247;0.337731 0.225588 2.03789;0.486225 -0.458064 2.10848;0.333816 -0.463483 2.12413;0.500511 -0.766791 2.11164;0.281062 -0.789287 2.05757;0.474943 -1.12617 2.16832;0.202065 -1.09446 2.04736;0.464134 -1.1494 2.04383;0.194924 -1.11709 1.92261;78;
1525193543048;0.404848 0.294978 2.21658;0.433674 0.140964 2.19473;0.432113 0.0669734 2.19333;0.426117 -0.159542 2.17953;0.417714 -0.468337 2.1497;0.592828 0.0464313 2.18105;0.264275 0.0750549 2.20118;0.79981 0.0929984 2.18105;0.0860746 0.13804 2.11762;0.677108 0.226978 2.07225;0.31372 0.199195 2.05445;0.635402 0.246279 2.04767;0.34553 0.205605 2.04168;0.598999 0.267774 2.01001;0.393966 0.222609 2.04568;0.584042 0.208147 2.03273;0.360706 0.248441 2.07475;0.487132 -0.458163 2.10688;0.334745 -0.463287 2.12292;0.500934 -0.768203 2.11047;0.281297 -0.789212 2.05676;0.47168 -1.13979 2.16985;0.201369 -1.09505 2.04698;0.450488 -1.20713 2.11671;0.194151 -1.11762 1.92221;79;
1525193543116;0.405275 0.294839 2.21634;0.43695 0.140303 2.19506;0.434824 0.0664937 2.19336;0.427396 -0.159595 2.179;0.417813 -0.468036 2.14861;0.595381 0.0456007 2.18123;0.265188 0.0758796 2.20178;0.800047 0.0926949 2.18123;0.08767 0.138459 2.11919;0.664881 0.224697 2.06864;0.314894 0.199191 2.05408;0.634682 0.238801 2.04866;0.344652 0.205686 2.04;0.597292 0.259659 2.01336;0.393584 0.222396 2.04368;0.588181 0.198326 2.0338;0.331032 0.226627 2.01848;0.487135 -0.457976 2.10568;0.334928 -0.462894 2.12195;0.501046 -0.768413 2.10995;0.281511 -0.788731 2.05557;0.470848 -1.14566 2.17031;0.201634 -1.09351 2.04619;0.449641 -1.21123 2.11549;0.194422 -1.11604 1.92139;80;
1525193543154;0.407235 0.294714 2.21567;0.436209 0.140268 2.19532;0.434439 0.0664581 2.19349;0.42739 -0.159609 2.17898;0.418084 -0.468068 2.14819;0.597712 0.0447515 2.18137;0.265194 0.0758441 2.2018;0.801008 0.0917425 2.18137;0.0891687 0.139086 2.12086;0.669829 0.219765 2.06949;0.31591 0.199354 2.05369;0.635179 0.236955 2.04832;0.3452 0.206123 2.04072;0.592582 0.253945 2.0118;0.38865 0.225141 2.04047;0.584971 0.196891 2.03582;0.360829 0.245469 2.0684;0.487388 -0.45809 2.10518;0.335207 -0.462854 2.12159;0.500904 -0.76872 2.1091;0.28177 -0.788239 2.05505;0.470293 -1.14918 2.17055;0.201436 -1.08915 2.04566;0.449279 -1.21438 2.11457;0.194339 -1.11171 1.9208;81;
1525193543256;0.409073 0.29457 2.21554;0.43597 0.140222 2.19601;0.434307 0.0664077 2.19392;0.427397 -0.159622 2.17901;0.418097 -0.468135 2.14784;0.599358 0.0435534 2.18147;0.26528 0.0757219 2.20203;0.800997 0.0905947 2.18147;0.0917969 0.140455 2.12915;0.66744 0.219414 2.06939;0.316633 0.20004 2.0547;0.637068 0.235429 2.05316;0.34638 0.20977 2.04358;0.596573 0.253685 2.01576;0.391427 0.229845 2.04246;0.584742 0.19625 2.03334;0.336659 0.232612 2.01932;0.487401 -0.458274 2.10456;0.335215 -0.462849 2.12144;0.501264 -0.768231 2.10835;0.282073 -0.787663 2.05424;0.473454 -1.13112 2.1675;0.20172 -1.08856 2.04589;0.462759 -1.15414 2.04294;0.194671 -1.11109 1.92101;82;
1525193543284;0.411135 0.29399 2.21482;0.435618 0.140125 2.1966;0.434076 0.0663299 2.19433;0.427389 -0.159633 2.17904;0.418082 -0.46812 2.14764;0.601116 0.0423419 2.18155;0.265397 0.0755807 2.20225;0.801694 0.0896796 2.18155;0.0927116 0.141368 2.13204;0.663527 0.219581 2.06875;0.317056 0.200177 2.05518;0.633366 0.233835 2.05354;0.345497 0.211397 2.04228;0.594202 0.251769 2.01693;0.389517 0.228304 2.03858;0.578197 0.192613 2.0393;0.333356 0.23155 2.01638;0.487305 -0.458308 2.10419;0.335245 -0.462807 2.12135;0.50136 -0.768293 2.10818;0.282136 -0.787333 2.0537;0.473542 -1.13628 2.16872;0.201244 -1.09225 2.04542;0.450672 -1.20552 2.11555;0.194258 -1.11467 1.92066;83;
1525193543351;0.412167 0.293948 2.21499;0.435582 0.140071 2.197;0.434063 0.0662799 2.1946;0.427403 -0.159647 2.17906;0.418073 -0.468155 2.14725;0.603105 0.0411511 2.18162;0.265543 0.0754358 2.20271;0.801731 0.0885331 2.18162;0.0942596 0.143022 2.13782;0.66112 0.219541 2.06882;0.318747 0.199049 2.05907;0.63331 0.232336 2.05489;0.347217 0.211654 2.04712;0.592132 0.248784 2.02079;0.390352 0.230599 2.04473;0.589327 0.191931 2.04323;0.336462 0.232383 2.01807;0.487279 -0.458464 2.1034;0.335247 -0.462778 2.12123;0.502056 -0.766843 2.10632;0.282292 -0.787066 2.05326;0.471618 -1.14753 2.1699;0.200259 -1.09457 2.04525;0.449589 -1.21228 2.11335;0.193268 -1.11693 1.92048;84;
1525193543484;0.415029 0.293334 2.21545;0.435711 0.140007 2.19752;0.434209 0.0661974 2.19499;0.427586 -0.159747 2.17911;0.418364 -0.46837 2.14685;0.605046 0.0402102 2.18207;0.265847 0.0749422 2.20383;0.802686 0.0863089 2.18207;0.0955064 0.144272 2.14483;0.65954 0.21681 2.06989;0.31911 0.198914 2.06217;0.633182 0.227459 2.05727;0.348462 0.215204 2.05124;0.594166 0.247514 2.01725;0.390052 0.233551 2.04846;0.587543 0.186647 2.04292;0.328174 0.226805 2.01548;0.487648 -0.458779 2.10272;0.335451 -0.462891 2.12107;0.502353 -0.76679 2.1061;0.282615 -0.786528 2.05279;0.471433 -1.14771 2.16986;0.200721 -1.09459 2.04499;0.44965 -1.2126 2.11338;0.193592 -1.11695 1.92014;85;
1525193543517;0.416392 0.293009 2.21624;0.445173 0.139285 2.20031;0.441813 0.0655334 2.19715;0.430808 -0.160161 2.17958;0.418516 -0.468453 2.14667;0.60629 0.0394889 2.18204;0.269841 0.0732241 2.20931;0.802726 0.0850754 2.18204;0.0966179 0.144718 2.14969;0.659072 0.216099 2.07004;0.299731 0.225415 2.06207;0.633701 0.226753 2.05839;0.338104 0.224008 2.04811;0.592026 0.243265 2.02288;0.381347 0.240278 2.04193;0.582984 0.185512 2.0405;0.324045 0.200624 2.01155;0.487808 -0.45882 2.10238;0.335592 -0.46299 2.12102;0.502454 -0.767035 2.10607;0.282713 -0.786541 2.05273;0.471873 -1.14992 2.17058;0.200458 -1.09563 2.04524;0.449228 -1.21422 2.11269;0.191757 -1.1179 1.92035;86;
1525193543550;0.417036 0.292813 2.21658;0.448209 0.138855 2.20173;0.444652 0.0650995 2.19845;0.432558 -0.160516 2.18012;0.418593 -0.468536 2.14661;0.607212 0.0388193 2.18202;0.272085 0.0722337 2.21247;0.802598 0.0837202 2.18202;0.0970127 0.144845 2.15193;0.658609 0.215662 2.07016;0.286079 0.223825 2.06973;0.631838 0.224013 2.05935;0.32773 0.221764 2.0492;0.5915 0.241107 2.02307;0.372236 0.243479 2.04519;0.583249 0.18074 2.0492;0.32234 0.195979 2.01211;0.487881 -0.458935 2.10222;0.335671 -0.463046 2.12103;0.502742 -0.766771 2.10585;0.282835 -0.786471 2.05266;0.471832 -1.14989 2.17054;0.200432 -1.09566 2.04523;0.448955 -1.21418 2.11275;0.190829 -1.11788 1.92037;87;
1525193543618;0.418044 0.292419 2.2171;0.451433 0.138118 2.20398;0.447703 0.0643662 2.2005;0.434743 -0.161162 2.18129;0.41886 -0.46877 2.14666;0.608198 0.0382792 2.18262;0.273358 0.0710536 2.21491;0.802765 0.0829778 2.18262;0.0978125 0.144919 2.15416;0.658279 0.215282 2.07076;0.276217 0.216221 2.07844;0.633298 0.223279 2.06268;0.319282 0.222154 2.05734;0.593993 0.241389 2.02323;0.362399 0.248698 2.05016;0.583877 0.181683 2.04942;0.334456 0.192239 2.02106;0.488157 -0.459183 2.1021;0.33599 -0.463303 2.1213;0.503196 -0.76637 2.10562;0.283064 -0.786561 2.05272;0.471848 -1.14993 2.17051;0.201333 -1.09121 2.0445;0.449096 -1.21391 2.11239;0.191209 -1.11332 1.91986;88;
1525193543652;0.418239 0.292429 2.21733;0.448307 0.138399 2.20423;0.445621 0.0645495 2.20082;0.434467 -0.16115 2.18149;0.418966 -0.468814 2.14677;0.608885 0.0379443 2.18304;0.272823 0.0708664 2.21456;0.802831 0.0825147 2.18304;0.0987566 0.145303 2.15569;0.657863 0.214852 2.07129;0.290533 0.215768 2.07145;0.633494 0.223972 2.06364;0.33434 0.225151 2.05703;0.593555 0.245947 2.02209;0.384605 0.246837 2.04929;0.583542 0.183262 2.04643;0.361255 0.193642 2.05386;0.488306 -0.459208 2.10222;0.336062 -0.463355 2.1214;0.503826 -0.765695 2.10506;0.283473 -0.786533 2.05278;0.474461 -1.13241 2.16873;0.201468 -1.09303 2.04491;0.451796 -1.202 2.1137;0.191593 -1.11511 1.92029;89;
1525193543752;0.418984 0.292054 2.218;0.446816 0.138471 2.2042;0.444545 0.064544 2.20091;0.434292 -0.161268 2.18169;0.419257 -0.469227 2.14712;0.609564 0.0376244 2.18315;0.273892 0.070035 2.21567;0.802969 0.082331 2.18315;0.101846 0.146546 2.15585;0.657525 0.214352 2.07398;0.286227 0.220733 2.07848;0.629658 0.22569 2.0703;0.329852 0.229998 2.06616;0.58742 0.245807 2.0335;0.375789 0.249604 2.05754;0.588571 0.184239 2.05738;0.362935 0.19822 2.04879;0.48856 -0.459587 2.10246;0.33639 -0.46379 2.12194;0.503999 -0.765727 2.1051;0.283708 -0.786774 2.05302;0.473156 -1.13944 2.1697;0.20055 -1.0963 2.04536;0.451669 -1.20421 2.11335;0.190375 -1.11829 1.92092;90;
1525193543783;0.419575 0.291863 2.21909;0.445215 0.138711 2.20435;0.44337 0.0646979 2.20115;0.434116 -0.161297 2.18199;0.419786 -0.469489 2.14767;0.610691 0.0374958 2.18391;0.274589 0.0697855 2.21637;0.802948 0.082245 2.18391;0.104073 0.147503 2.15553;0.656881 0.214211 2.07507;0.28678 0.22232 2.07998;0.628046 0.226397 2.07147;0.330425 0.23168 2.06846;0.585648 0.247177 2.03485;0.377083 0.251483 2.06072;0.582803 0.182987 2.05987;0.36739 0.197222 2.05488;0.489253 -0.459985 2.10312;0.336771 -0.463924 2.12241;0.504433 -0.765422 2.10517;0.284738 -0.789335 2.05355;0.472709 -1.14436 2.17082;0.200541 -1.0965 2.04562;0.450972 -1.20802 2.11196;0.190389 -1.11843 1.92134;91;
1525193543815;0.420208 0.291653 2.21959;0.444566 0.138738 2.20432;0.442874 0.0646999 2.20119;0.434058 -0.16135 2.18212;0.420167 -0.469727 2.14796;0.611286 0.0373409 2.18413;0.275324 0.0692397 2.217;0.802879 0.0821063 2.18413;0.105067 0.14799 2.15505;0.655992 0.214165 2.07648;0.290736 0.223336 2.0799;0.626516 0.226629 2.07337;0.335747 0.232818 2.07012;0.582051 0.245078 2.03666;0.382896 0.252531 2.06385;0.584583 0.184079 2.06589;0.371599 0.197288 2.0656;0.489698 -0.460279 2.10342;0.337077 -0.464092 2.12269;0.504886 -0.765014 2.10502;0.285156 -0.789072 2.05374;0.471808 -1.15183 2.17416;0.200884 -1.09694 2.04574;0.449915 -1.21308 2.10931;0.190579 -1.11891 1.92139;92;
1525193543850;0.420812 0.291416 2.22035;0.443942 0.138845 2.20429;0.442389 0.0647915 2.20124;0.433992 -0.161326 2.18229;0.420558 -0.469734 2.14835;0.612288 0.0371951 2.18468;0.274074 0.0694887 2.21562;0.802794 0.0820896 2.18468;0.105786 0.14822 2.15472;0.655257 0.214307 2.078;0.287059 0.222983 2.08284;0.624924 0.226374 2.07371;0.333219 0.2341 2.07144;0.585973 0.247796 2.04018;0.380273 0.253436 2.06629;0.581029 0.184201 2.06135;0.369984 0.198045 2.06633;0.490246 -0.460332 2.10423;0.337337 -0.464063 2.12283;0.505167 -0.765213 2.10526;0.285804 -0.788965 2.05419;0.471801 -1.15181 2.1742;0.20062 -1.09866 2.04669;0.449627 -1.21344 2.11016;0.19091 -1.12066 1.92223;93;
1525193543931;0.42092 0.291352 2.2204;0.44355 0.138922 2.20419;0.442095 0.0648439 2.20122;0.433969 -0.161337 2.18242;0.420978 -0.469883 2.14878;0.613023 0.0371845 2.18541;0.273402 0.0693555 2.21455;0.802832 0.0820482 2.18541;0.105691 0.147972 2.15392;0.655108 0.213791 2.0796;0.288203 0.223277 2.08296;0.625533 0.224544 2.07481;0.333871 0.23621 2.07267;0.580192 0.242684 2.03567;0.380557 0.254712 2.06874;0.578841 0.182857 2.0606;0.370133 0.200363 2.06355;0.49064 -0.460451 2.1049;0.337766 -0.464221 2.12307;0.505937 -0.764883 2.10559;0.28616 -0.788935 2.05479;0.473983 -1.13857 2.17174;0.201469 -1.09481 2.04671;0.452163 -1.20374 2.11657;0.192244 -1.1169 1.92211;94;
1525193544099;0.420898 0.291338 2.22031;0.443 0.139012 2.20408;0.441672 0.0649113 2.20118;0.433941 -0.161338 2.18248;0.421279 -0.469952 2.14892;0.612903 0.0373785 2.18538;0.272642 0.0691748 2.21348;0.802249 0.0819908 2.18538;0.105312 0.147441 2.15316;0.654134 0.211222 2.08036;0.283098 0.224316 2.08318;0.625965 0.217495 2.07415;0.32934 0.235255 2.06774;0.582261 0.236819 2.03377;0.380018 0.254875 2.06245;0.579552 0.176422 2.0635;0.365339 0.200348 2.06597;0.490975 -0.460565 2.10529;0.338084 -0.464254 2.12302;0.506225 -0.764835 2.1056;0.286489 -0.789005 2.05502;0.474614 -1.136 2.17168;0.201401 -1.09492 2.0466;0.451752 -1.20362 2.11595;0.192451 -1.11702 1.92198;95;
1525193544117;0.420961 0.291304 2.22022;0.442517 0.139032 2.20378;0.441292 0.0649109 2.20095;0.43392 -0.161371 2.18246;0.421606 -0.470146 2.14884;0.613376 0.0374976 2.18564;0.273755 0.0679814 2.21371;0.801692 0.0819874 2.18564;0.104165 0.146534 2.15232;0.653588 0.209335 2.08128;0.282916 0.224266 2.0836;0.625638 0.218356 2.07385;0.328986 0.23418 2.06776;0.580741 0.237965 2.03571;0.378828 0.251255 2.06174;0.577656 0.175488 2.06076;0.365143 0.198218 2.06096;0.491337 -0.460884 2.10528;0.338371 -0.464331 2.12287;0.506342 -0.764562 2.10562;0.286766 -0.788718 2.05506;0.472434 -1.14416 2.17153;0.201608 -1.09472 2.04624;0.450837 -1.20902 2.11547;0.192574 -1.11682 1.92162;96;
1525193544150;0.420995 0.29128 2.22023;0.442229 0.139069 2.20373;0.441063 0.0649371 2.20092;0.433919 -0.161376 2.18248;0.421903 -0.470233 2.1488;0.613428 0.0374889 2.18566;0.274573 0.0669598 2.21389;0.801678 0.08198 2.18566;0.10384 0.146043 2.15234;0.661465 0.204531 2.08583;0.280067 0.223786 2.08458;0.622837 0.220116 2.07466;0.32632 0.232742 2.06855;0.579476 0.239053 2.03646;0.375152 0.253198 2.06388;0.570296 0.174606 2.0684;0.362803 0.19744 2.06293;0.491697 -0.460932 2.10521;0.338582 -0.464431 2.12283;0.506486 -0.764456 2.10563;0.286917 -0.788576 2.05523;0.473677 -1.14015 2.17207;0.201966 -1.09307 2.0467;0.452902 -1.20979 2.11933;0.192823 -1.11513 1.92223;97;
1525193544188;0.420983 0.291238 2.22033;0.441824 0.139014 2.20369;0.440727 0.0649068 2.20088;0.43389 -0.161378 2.1825;0.422074 -0.470198 2.14876;0.613512 0.0375196 2.18578;0.273685 0.0670633 2.21314;0.801692 0.0820533 2.18578;0.103111 0.145415 2.15236;0.671835 0.202672 2.09202;0.259767 0.217241 2.09718;0.622409 0.221933 2.07459;0.302308 0.230021 2.07516;0.574718 0.237137 2.03659;0.348312 0.252893 2.05699;0.573006 0.177862 2.06283;0.340683 0.19577 2.055;0.491865 -0.46093 2.10517;0.338741 -0.464347 2.12277;0.50668 -0.764374 2.10551;0.287033 -0.78844 2.05525;0.474405 -1.13625 2.17135;0.200377 -1.09698 2.04669;0.452999 -1.20779 2.11847;0.191521 -1.11899 1.92222;98;
1525193544284;0.420739 0.289115 2.22312;0.441184 0.138874 2.2031;0.440139 0.0647912 2.20036;0.433686 -0.161449 2.18226;0.422127 -0.470235 2.14858;0.613199 0.0375212 2.18506;0.273755 0.0671416 2.21342;0.802744 0.0840471 2.18506;0.103461 0.139591 2.15786;0.657809 0.218422 2.08318;0.28408 0.214364 2.08646;0.623376 0.238684 2.06935;0.326195 0.217734 2.07775;0.577415 0.254273 2.0357;0.365599 0.235227 2.07024;0.571593 0.19757 2.071;0.351298 0.186698 2.07161;0.492044 -0.46103 2.10482;0.338712 -0.464339 2.12266;0.506743 -0.764672 2.10553;0.287103 -0.788138 2.05511;0.475335 -1.12989 2.17071;0.200347 -1.09714 2.04669;0.46249 -1.15252 2.04651;0.191207 -1.11915 1.92224;99;
1525193544363;0.419911 0.288814 2.22646;0.440376 0.138568 2.20285;0.439417 0.0645707 2.20013;0.433412 -0.161489 2.18216;0.422141 -0.470151 2.14846;0.611918 0.0384727 2.18305;0.272348 0.0680953 2.21256;0.803912 0.0885944 2.18305;0.1029 0.135207 2.16308;0.655556 0.230909 2.07787;0.284419 0.213418 2.08828;0.629497 0.254606 2.06252;0.326176 0.213228 2.08279;0.584432 0.27359 2.02923;0.358645 0.226115 2.08323;0.584926 0.214144 2.0494;0.34985 0.183826 2.0735;0.492016 -0.460804 2.10457;0.338733 -0.464325 2.12261;0.506745 -0.764677 2.10548;0.287202 -0.787875 2.05498;0.474579 -1.13345 2.17089;0.200206 -1.09802 2.04696;0.4531 -1.20639 2.11753;0.190762 -1.11996 1.92268;100;
1525193544585;0.418283 0.28616 2.22914;0.438549 0.138617 2.20273;0.43767 0.0646118 2.2;0.432284 -0.161515 2.18204;0.421781 -0.470181 2.14829;0.608852 0.0395384 2.17794;0.270812 0.0686295 2.21262;0.805556 0.0895392 2.17794;0.0996939 0.128929 2.17664;0.649503 0.247681 2.0589;0.312534 0.221578 2.10092;0.62964 0.265979 2.04285;0.333922 0.219418 2.09231;0.587076 0.286623 2.00794;0.365775 0.2381 2.10775;0.585412 0.224748 2.04058;0.331348 0.194367 2.06344;0.491384 -0.460764 2.10398;0.338505 -0.464382 2.12265;0.506729 -0.76461 2.10521;0.287165 -0.787926 2.055;0.475274 -1.12835 2.1711;0.199775 -1.09877 2.04719;0.45299 -1.20399 2.11606;0.188853 -1.12068 1.92302;101;
1525193544665;0.416482 0.284314 2.23055;0.437667 0.138662 2.20267;0.436796 0.0646817 2.19988;0.431616 -0.161412 2.18181;0.42142 -0.469994 2.14778;0.607651 0.0400929 2.17502;0.269611 0.0691975 2.21267;0.804129 0.0925892 2.17502;0.0985511 0.127298 2.18034;0.647267 0.247776 2.05653;0.310347 0.220567 2.10211;0.626765 0.25935 2.04038;0.331014 0.218061 2.09349;0.581617 0.280155 2.00279;0.365948 0.238367 2.1101;0.575862 0.218854 2.02746;0.32838 0.192675 2.06232;0.490678 -0.46023 2.10262;0.33838 -0.464365 2.12259;0.506552 -0.764263 2.10456;0.287393 -0.78916 2.05475;0.473793 -1.13867 2.17032;0.199778 -1.09909 2.04731;0.452864 -1.2039 2.11593;0.188045 -1.12099 1.9232;102;
1525193544682;0.414655 0.282795 2.23157;0.436293 0.138565 2.20227;0.435628 0.0646405 2.19952;0.431102 -0.16136 2.1816;0.421406 -0.469881 2.14763;0.606771 0.0405582 2.17386;0.268826 0.069452 2.21282;0.803979 0.0939827 2.17386;0.0968853 0.125808 2.18414;0.646234 0.247229 2.05523;0.307786 0.219361 2.10349;0.626055 0.255648 2.04273;0.327321 0.215776 2.09021;0.581438 0.278928 2.00734;0.361869 0.225168 2.1029;0.579233 0.216171 2.03775;0.320348 0.191159 2.0595;0.490668 -0.459741 2.10205;0.338378 -0.464373 2.1226;0.506551 -0.764292 2.10442;0.287398 -0.789173 2.05477;0.475131 -1.13125 2.17003;0.203634 -1.08793 2.04709;0.452936 -1.20404 2.11704;0.191444 -1.11 1.92284;103;
1525193544816;0.412035 0.28101 2.23198;0.435217 0.138365 2.20213;0.434711 0.0644818 2.19943;0.430699 -0.161424 2.18164;0.421409 -0.469878 2.14766;0.605658 0.0409269 2.17183;0.268152 0.0694495 2.21334;0.805117 0.091809 2.17183;0.0956161 0.124564 2.18787;0.643844 0.2441 2.05296;0.305759 0.218246 2.1051;0.623575 0.248136 2.03919;0.325844 0.217598 2.09289;0.576728 0.270613 1.99812;0.363819 0.235596 2.11177;0.57942 0.210862 2.03349;0.319072 0.192187 2.06212;0.490651 -0.459671 2.10202;0.338422 -0.4645 2.12288;0.506601 -0.764232 2.1044;0.288109 -0.79045 2.05487;0.473916 -1.13623 2.17246;0.201233 -1.09454 2.04767;0.45297 -1.20401 2.11705;0.18834 -1.11656 1.92346;104;
1525193544850;0.41044 0.27979 2.23223;0.434365 0.138171 2.20202;0.43408 0.0643453 2.19935;0.430597 -0.161447 2.18163;0.421742 -0.469805 2.14761;0.605171 0.0411163 2.17065;0.267643 0.0694909 2.21361;0.805222 0.090903 2.17065;0.0943719 0.122751 2.19198;0.641921 0.242076 2.05044;0.303586 0.2169 2.10712;0.620841 0.247941 2.03751;0.324631 0.216793 2.09305;0.572824 0.267936 2.00055;0.361802 0.22734 2.10362;0.571537 0.207572 2.02673;0.317909 0.191338 2.06204;0.491151 -0.459418 2.10164;0.338757 -0.464562 2.12311;0.506628 -0.764264 2.10439;0.288173 -0.79034 2.0549;0.47479 -1.13286 2.17273;0.202399 -1.09306 2.0475;0.452512 -1.20644 2.11752;0.189079 -1.1151 1.92333;105;
1525193544918;0.409722 0.279423 2.23236;0.433825 0.13802 2.20184;0.43361 0.0642124 2.19922;0.430402 -0.161519 2.18163;0.421782 -0.469818 2.14765;0.604663 0.0412764 2.16976;0.267243 0.0693325 2.21373;0.8032 0.0925304 2.16976;0.0937088 0.121864 2.19399;0.640766 0.241011 2.04954;0.302408 0.216231 2.10794;0.618793 0.248039 2.03729;0.322796 0.21563 2.09412;0.572679 0.267551 2.00046;0.359253 0.228161 2.10484;0.569382 0.207356 2.02813;0.317349 0.186232 2.06529;0.491196 -0.45941 2.10164;0.338812 -0.464659 2.12333;0.506804 -0.763789 2.10412;0.288936 -0.788583 2.05502;0.471578 -1.14304 2.1721;0.201658 -1.09417 2.04705;0.45239 -1.20857 2.11713;0.188042 -1.11622 1.92285;106;
1525193545049;0.408729 0.278841 2.23206;0.43334 0.137846 2.20168;0.433146 0.0640479 2.19911;0.4301 -0.161642 2.18163;0.421772 -0.469845 2.1477;0.604501 0.041345 2.1695;0.266928 0.0692557 2.21383;0.800529 0.0931772 2.1695;0.0932689 0.121405 2.19473;0.639869 0.240015 2.04924;0.30171 0.21594 2.10817;0.618354 0.247087 2.03973;0.323328 0.216756 2.09406;0.572204 0.26471 2.00222;0.361513 0.233477 2.10593;0.57067 0.208347 2.03142;0.321635 0.187723 2.0677;0.491197 -0.459413 2.10165;0.338748 -0.464804 2.12357;0.506828 -0.763838 2.10412;0.288805 -0.788626 2.05517;0.474204 -1.13585 2.16865;0.201187 -1.09162 2.047;0.456812 -1.1584 2.04478;0.187472 -1.11371 1.92279;107;
1525193545116;0.408131 0.278589 2.2322;0.433046 0.13784 2.20173;0.432807 0.0640316 2.19919;0.429692 -0.161699 2.18185;0.421557 -0.469903 2.14804;0.604269 0.0413648 2.16956;0.266524 0.0692315 2.21402;0.799657 0.0934537 2.16956;0.0927836 0.121117 2.19529;0.639573 0.238758 2.0504;0.300976 0.215759 2.10817;0.617632 0.24579 2.04441;0.322518 0.217839 2.09509;0.570154 0.263813 2.0064;0.365391 0.230443 2.10491;0.5734 0.208335 2.03362;0.31765 0.187786 2.06944;0.490963 -0.459327 2.10185;0.338509 -0.465129 2.12425;0.506827 -0.76379 2.10411;0.28867 -0.788634 2.05531;0.473241 -1.14717 2.17285;0.201027 -1.09241 2.04722;0.453347 -1.21241 2.1172;0.204413 -1.18387 2.05946;108;
