Time;Head;Neck;Spine Shoulder;Spine Mid;Spine Base;R Shoulder;L Shoulder;R Elbow;L Elbow;R Wrist;L Wrist;R Hand;L Hand;R Foot;L Foot;Frame No.;
1525195557883;0.250665 0.514719 2.79511;0.250388 0.351914 2.77194;0.250621 0.270651 2.77631;0.250423 0.0224591 2.77941;0.249129 -0.314839 2.77336;0.42871 0.242124 2.76894;0.0777316 0.254252 2.81851;0.550613 0.0205768 2.76894;-0.0512841 0.038042 2.87271;0.591003 0.225319 2.66999;-0.098649 0.237635 2.73499;0.591352 0.29741 2.64088;-0.104595 0.312432 2.70401;0.497738 -1.29092 2.67811;0.0793788 -1.28573 2.69988;179;
1525195557924;0.251397 0.515169 2.79452;0.250861 0.352724 2.77148;0.251062 0.271387 2.77591;0.250754 0.0229316 2.77919;0.249328 -0.314687 2.77327;0.429007 0.24242 2.7687;0.078072 0.254578 2.81701;0.549712 0.0204075 2.7687;-0.0500051 0.0385287 2.87015;0.591311 0.226101 2.66877;-0.098074 0.240344 2.73308;0.591999 0.297547 2.64026;-0.104999 0.313494 2.70379;0.498034 -1.29135 2.67786;0.0800368 -1.28542 2.70154;180;
1525195558083;0.251907 0.515082 2.79436;0.250967 0.352688 2.77104;0.251177 0.271412 2.77546;0.250906 0.0231278 2.77872;0.249558 -0.314272 2.77267;0.429901 0.24303 2.76646;0.0781147 0.255061 2.81668;0.548723 0.0197529 2.76646;-0.0578339 0.0357744 2.87507;0.591549 0.226442 2.66599;-0.097233 0.243002 2.73169;0.590634 0.296266 2.63325;-0.102953 0.318479 2.70443;0.497329 -1.29169 2.67986;0.0801011 -1.28497 2.7014;181;
1525195558388;0.253949 0.516372 2.79404;0.252905 0.355225 2.76878;0.25288 0.273666 2.77338;0.251963 0.0245332 2.77718;0.249988 -0.313806 2.7717;0.431943 0.245193 2.75324;0.0812133 0.257165 2.81044;0.550156 0.0183544 2.75324;-0.0581347 0.0352813 2.87499;0.592237 0.227426 2.65186;-0.0970384 0.244091 2.73148;0.592466 0.301279 2.61601;-0.107959 0.319623 2.70757;0.497467 -1.29156 2.68171;0.0797592 -1.28572 2.70226;182;
1525195558599;0.258451 0.518315 2.79367;0.254991 0.356595 2.76616;0.254734 0.274991 2.77094;0.253148 0.0256289 2.7753;0.250422 -0.313177 2.77045;0.434121 0.247256 2.74476;0.0821129 0.258315 2.80869;0.550064 0.0172367 2.74476;-0.058815 0.0355152 2.87209;0.594665 0.228134 2.64643;-0.0937591 0.251451 2.73341;0.599723 0.302533 2.61279;-0.102298 0.327533 2.71605;0.497229 -1.29136 2.68095;0.0799224 -1.28607 2.70215;183;
1525195558930;0.262273 0.521952 2.78946;0.260003 0.361755 2.75568;0.259609 0.279692 2.76176;0.257463 0.0289692 2.76956;0.253762 -0.311501 2.76805;0.437957 0.249339 2.73321;0.0860193 0.260754 2.80101;0.553257 0.0205237 2.73321;-0.0572317 0.0339169 2.869;0.599949 0.231566 2.6327;-0.0928841 0.252092 2.73251;0.604677 0.308211 2.59967;-0.103069 0.324412 2.70868;0.499912 -1.2929 2.68332;0.0798505 -1.28604 2.70222;184;
1525195559097;0.264227 0.523014 2.78548;0.261239 0.361472 2.75393;0.261051 0.279635 2.75993;0.259641 0.0296517 2.76753;0.257059 -0.309815 2.76615;0.439611 0.250713 2.72901;0.0873859 0.262053 2.79833;0.552862 0.0203674 2.72901;-0.0566165 0.0326062 2.86899;0.601888 0.231549 2.629;-0.0924344 0.251974 2.73224;0.609165 0.306861 2.59859;-0.104473 0.3251 2.70515;0.499326 -1.29211 2.68241;0.0799776 -1.28569 2.70445;185;
1525195559331;0.265297 0.523498 2.78232;0.262861 0.361678 2.75199;0.263085 0.280013 2.75785;0.263121 0.0305849 2.7652;0.262847 -0.308245 2.76389;0.441206 0.251643 2.72595;0.0913718 0.26016 2.7923;0.554579 0.0217039 2.72595;-0.0507908 0.0271469 2.85951;0.604548 0.232894 2.62669;-0.0912175 0.250954 2.73049;0.611862 0.307556 2.59777;-0.102217 0.323784 2.70453;0.499316 -1.29208 2.68245;0.0803222 -1.2852 2.70431;186;
1525195559430;0.266874 0.523709 2.77993;0.264551 0.362185 2.75;0.26502 0.280574 2.75599;0.265777 0.0312341 2.76383;0.26649 -0.307676 2.76336;0.442884 0.252447 2.72333;0.0920987 0.260287 2.7918;0.555349 0.021483 2.72333;-0.0494228 0.0263684 2.85852;0.605996 0.232467 2.62502;-0.0900627 0.250728 2.72931;0.614067 0.308004 2.59381;-0.100044 0.321988 2.7018;0.498686 -1.29157 2.68234;0.0804117 -1.28519 2.70519;187;
1525195559497;0.267898 0.523661 2.77506;0.266682 0.362418 2.74539;0.267232 0.280866 2.75206;0.268055 0.0315831 2.76164;0.268781 -0.307392 2.76279;0.443719 0.252456 2.71954;0.0950543 0.259283 2.7866;0.56298 0.0178188 2.71954;-0.0481977 0.0255326 2.85587;0.60754 0.23207 2.62224;-0.0887787 0.249503 2.72743;0.6142 0.304827 2.58916;-0.0987987 0.321684 2.69757;0.499315 -1.29196 2.68354;0.0804136 -1.28508 2.70507;188;
1525195559597;0.269075 0.523923 2.77013;0.269148 0.362579 2.74103;0.269651 0.281065 2.74859;0.270257 0.0318186 2.76031;0.271245 -0.307153 2.76347;0.444914 0.252321 2.7156;0.0961647 0.259088 2.78445;0.562407 0.0190075 2.7156;-0.0467931 0.0258144 2.85541;0.608576 0.231009 2.61869;-0.088188 0.249315 2.72622;0.614869 0.305432 2.58303;-0.0988639 0.32135 2.69501;0.49843 -1.2908 2.68355;0.0808278 -1.28531 2.70463;189;
1525195559616;0.269625 0.524292 2.76469;0.270701 0.363248 2.73881;0.271236 0.281669 2.74668;0.271836 0.0322197 2.75943;0.272784 -0.306994 2.76387;0.445946 0.251975 2.71346;0.0973113 0.258858 2.78297;0.562019 0.020662 2.71346;-0.0462186 0.0261723 2.85455;0.609598 0.230772 2.61618;-0.0872415 0.248178 2.72422;0.615056 0.304294 2.58012;-0.0983407 0.316795 2.6937;0.497829 -1.28968 2.68289;0.080863 -1.28469 2.7042;190;
1525195559650;0.270092 0.523662 2.76173;0.270991 0.363282 2.7371;0.271637 0.28173 2.74529;0.272436 0.0323186 2.7589;0.273776 -0.30686 2.76431;0.446729 0.252109 2.7121;0.097952 0.258938 2.78205;0.561842 0.0207752 2.7121;-0.0451892 0.0258237 2.85317;0.610187 0.230045 2.61458;-0.0867014 0.247427 2.7234;0.61406 0.303105 2.57712;-0.0974405 0.316369 2.69344;0.497512 -1.28972 2.68229;0.0800032 -1.28539 2.70598;191;
1525195559729;0.271015 0.523195 2.75775;0.271865 0.362807 2.73573;0.272577 0.281318 2.74409;0.273571 0.0320701 2.75831;0.275147 -0.307016 2.76472;0.447616 0.25215 2.71106;0.0996893 0.258578 2.7799;0.562041 0.0209469 2.71106;-0.0435348 0.026562 2.85363;0.61043 0.229378 2.61212;-0.0862483 0.246546 2.72256;0.613626 0.303754 2.57209;-0.0984146 0.316237 2.69163;0.497533 -1.28981 2.68252;0.0812132 -1.28497 2.70731;192;
1525195559830;0.27286 0.521054 2.74957;0.27384 0.360982 2.73297;0.274532 0.279742 2.74162;0.275415 0.0311665 2.75687;0.276487 -0.307308 2.7646;0.448587 0.252445 2.71021;0.100831 0.258438 2.77803;0.562473 0.021547 2.71021;-0.041803 0.0267235 2.85339;0.611013 0.229094 2.60937;-0.0850162 0.245284 2.72117;0.615172 0.303935 2.57162;-0.0967275 0.314177 2.68917;0.497443 -1.28978 2.68257;0.0809169 -1.28512 2.70649;193;
1525195559863;0.272881 0.519605 2.74519;0.27503 0.359469 2.73075;0.275733 0.278432 2.73965;0.276609 0.0304253 2.75574;0.277414 -0.307512 2.76451;0.44933 0.25288 2.70916;0.101381 0.25798 2.77687;0.562893 0.0222731 2.70916;-0.0407671 0.0265946 2.85371;0.611239 0.229227 2.60753;-0.0837524 0.244575 2.71907;0.615298 0.304236 2.572;-0.095191 0.313887 2.68921;0.497317 -1.2898 2.68237;0.0808478 -1.28493 2.7064;194;
1525195559896;0.273366 0.519071 2.74222;0.275666 0.358915 2.72956;0.27636 0.277926 2.73856;0.277198 0.0300904 2.75507;0.277774 -0.307624 2.76447;0.449791 0.252699 2.70847;0.102037 0.258012 2.7755;0.562905 0.0222866 2.70847;-0.0398959 0.0262159 2.85171;0.611244 0.228921 2.60676;-0.0829788 0.243782 2.71799;0.615797 0.304445 2.57308;-0.0944936 0.313514 2.68702;0.49776 -1.29065 2.68254;0.0805566 -1.28494 2.70629;195;
1525195560063;0.274559 0.517792 2.73564;0.276191 0.358002 2.72668;0.27698 0.277109 2.73585;0.27809 0.0295762 2.75303;0.27867 -0.30775 2.76364;0.450266 0.253071 2.70691;0.103348 0.258253 2.77221;0.562907 0.0220681 2.70691;-0.0401568 0.0273981 2.84838;0.610796 0.228335 2.60451;-0.0822593 0.244173 2.71316;0.612758 0.301671 2.56784;-0.0954303 0.313933 2.67801;0.497414 -1.29026 2.68223;0.0806437 -1.28465 2.70635;196;
1525195560129;0.27459 0.516305 2.73024;0.276781 0.356427 2.72398;0.277567 0.2757 2.73334;0.27869 0.0286678 2.75117;0.279112 -0.308036 2.76292;0.45097 0.252815 2.70517;0.103799 0.258011 2.76973;0.562853 0.0221595 2.70517;-0.0405518 0.0277673 2.84611;0.610531 0.227871 2.6028;-0.0817415 0.244109 2.70961;0.612717 0.301341 2.56685;-0.0937172 0.314083 2.67426;0.497078 -1.28945 2.68215;0.0800765 -1.28698 2.70327;197;
1525195560183;0.274423 0.515752 2.72744;0.276977 0.3553 2.72095;0.27781 0.27461 2.73037;0.279109 0.0277344 2.74856;0.279652 -0.308621 2.76127;0.451439 0.252467 2.70341;0.104319 0.25774 2.76658;0.562969 0.0219568 2.70341;-0.0399679 0.0270781 2.84209;0.610043 0.22744 2.60025;-0.0812645 0.243356 2.70655;0.611767 0.301939 2.56459;-0.0926965 0.313638 2.67158;0.497165 -1.28961 2.68212;0.0800836 -1.287 2.70326;198;
1525195560316;0.272812 0.514754 2.725;0.276948 0.35465 2.71984;0.277837 0.273931 2.729;0.279408 0.0270025 2.74629;0.280479 -0.309265 2.75784;0.450902 0.252345 2.69985;0.104125 0.257704 2.76597;0.563479 0.020963 2.69985;-0.0381949 0.0260978 2.84213;0.609421 0.221261 2.58907;-0.0827295 0.237164 2.69798;0.613575 0.292431 2.54883;-0.100298 0.303471 2.66157;0.49724 -1.28989 2.68191;0.0801866 -1.2865 2.70304;199;
1525195560350;0.271642 0.514235 2.72355;0.277257 0.35425 2.71854;0.278126 0.273538 2.72755;0.27963 0.0266563 2.74442;0.280554 -0.309495 2.75567;0.450354 0.252556 2.69789;0.103829 0.257647 2.76545;0.563159 0.02032 2.69789;-0.0295938 0.0210361 2.8422;0.612893 0.216634 2.57468;-0.0872516 0.226132 2.68586;0.618533 0.278532 2.53627;-0.107351 0.288155 2.65164;0.497198 -1.29002 2.68177;0.0804743 -1.28639 2.70305;200;
1525195560383;0.269934 0.513862 2.72257;0.277357 0.353612 2.717;0.278165 0.272978 2.7259;0.279482 0.0263526 2.74249;0.28012 -0.309403 2.75347;0.450271 0.252753 2.69755;0.103461 0.257431 2.76522;0.566198 0.00927204 2.69755;-0.0214763 0.0151684 2.83935;0.619171 0.206699 2.54806;-0.0988001 0.211781 2.66675;0.625186 0.254426 2.5172;-0.117308 0.267838 2.63749;0.497091 -1.29022 2.68177;0.0801702 -1.28704 2.70592;201;
1525195560484;0.267154 0.513475 2.72256;0.275652 0.352692 2.71641;0.276402 0.2721 2.72503;0.277459 0.0255826 2.74063;0.277632 -0.309987 2.74987;0.448441 0.2527 2.69592;0.101146 0.255488 2.7652;0.557006 0.0170896 2.69592;0.0209704 0.0231045 2.8208;0.640955 0.0851115 2.49677;-0.136222 0.136594 2.60064;0.657213 0.131119 2.4352;-0.157757 0.17953 2.57965;0.496898 -1.28994 2.68098;0.080119 -1.2865 2.70561;202;
1525195560516;0.264211 0.513558 2.72375;0.273788 0.352301 2.71711;0.274724 0.271721 2.72536;0.276064 0.0251746 2.74009;0.276217 -0.31063 2.74797;0.446127 0.251859 2.69336;0.0987929 0.252983 2.76518;0.553323 0.020208 2.69336;0.0208048 0.0231251 2.82009;0.636469 0.0309206 2.52024;-0.139175 0.111088 2.59711;0.670972 0.0780291 2.40998;-0.167198 0.143619 2.56522;0.497137 -1.28996 2.68244;0.080173 -1.28644 2.70567;203;
1525195560547;0.260846 0.514201 2.72619;0.272294 0.352464 2.7176;0.27338 0.271836 2.72555;0.274991 0.025187 2.73956;0.275283 -0.31078 2.74626;0.445093 0.251845 2.69288;0.0975122 0.252186 2.76587;0.553262 -0.0012739 2.69288;0.0215169 0.0228256 2.82018;0.644849 0.00924494 2.49742;-0.131283 0.0569396 2.61047;0.683956 0.022247 2.39479;-0.172429 0.0992817 2.55623;0.497625 -1.28997 2.68308;0.0803022 -1.28802 2.70939;204;
1525195560583;0.258325 0.514584 2.72764;0.271352 0.352466 2.71792;0.272442 0.271831 2.72562;0.273878 0.0251531 2.73876;0.273883 -0.310883 2.74364;0.44349 0.25219 2.69199;0.0966028 0.251972 2.76632;0.554894 -0.000702807 2.69199;0.00840179 -0.016399 2.79759;0.65758 -0.0356536 2.47753;-0.132349 0.035079 2.6052;0.688412 -0.0367539 2.38629;-0.178052 0.0528747 2.54388;0.497757 -1.28997 2.683;0.0802805 -1.28658 2.70764;205;
1525195560614;0.256451 0.515237 2.72908;0.27038 0.352717 2.7182;0.271435 0.272031 2.72567;0.272688 0.0252115 2.73801;0.272487 -0.311115 2.74167;0.441395 0.252539 2.69073;0.0955076 0.251741 2.76708;0.551311 -0.00148136 2.69073;0.0108636 -0.0133932 2.80192;0.634754 -0.0650623 2.51535;-0.131603 0.000395099 2.61101;0.671491 -0.0838463 2.40764;-0.183681 0.00428124 2.53745;0.497555 -1.28984 2.68304;0.0799688 -1.28642 2.70714;206;
1525195560647;0.254506 0.515984 2.73202;0.269184 0.353108 2.71968;0.270358 0.272298 2.72658;0.271894 0.0252559 2.73792;0.271521 -0.311327 2.74047;0.439327 0.251521 2.68925;0.0947144 0.251888 2.76762;0.551165 -0.00233133 2.68925;0.0112756 -0.0120186 2.80597;0.635509 -0.0748866 2.51881;-0.130707 -0.0195647 2.60994;0.663412 -0.120119 2.42006;-0.181894 -0.0320051 2.53799;0.497769 -1.29024 2.68291;0.0798769 -1.28726 2.70569;207;
1525195560783;0.253498 0.516863 2.73255;0.267541 0.353975 2.71799;0.268111 0.273187 2.72429;0.267626 0.0259624 2.73311;0.264784 -0.311338 2.73247;0.437135 0.250471 2.68699;0.0940844 0.251724 2.76756;0.509415 -0.0165531 2.68699;0.0575168 -0.0154669 2.84947;0.621077 -0.106335 2.58099;-0.118295 -0.0271819 2.67174;0.664758 -0.117514 2.4595;-0.178202 -0.0124987 2.60807;0.498082 -1.29041 2.68259;0.0799687 -1.28715 2.70565;208;
1525195560831;0.25241 0.517178 2.73251;0.26634 0.35458 2.71731;0.266577 0.273821 2.72316;0.265216 0.0265792 2.73017;0.261577 -0.310841 2.72689;0.435249 0.250343 2.68501;0.0939695 0.251877 2.76714;0.509171 -0.0158156 2.68501;0.0574027 -0.0151144 2.84956;0.631192 -0.091715 2.56519;-0.123148 -0.0176694 2.67517;0.681913 -0.102128 2.47259;-0.186885 0.010493 2.6225;0.497111 -1.28968 2.68176;0.0799243 -1.28745 2.70561;209;
1525195560865;0.252139 0.517285 2.73249;0.266037 0.354681 2.71623;0.266072 0.273919 2.72181;0.264195 0.0266751 2.72812;0.260057 -0.310646 2.72459;0.43495 0.250328 2.68478;0.0941312 0.25226 2.76583;0.509266 -0.0156137 2.68478;0.0535174 -0.0134014 2.85017;0.632836 -0.0803669 2.56565;-0.135719 0.00870098 2.68046;0.687934 -0.0721954 2.47953;-0.197076 0.0418603 2.63069;0.496933 -1.28949 2.68175;0.0798493 -1.28751 2.7052;210;
1525195560883;0.251945 0.51743 2.73223;0.265388 0.354853 2.71569;0.265271 0.274096 2.72104;0.263142 0.0268465 2.72667;0.258883 -0.31043 2.72244;0.434346 0.250134 2.6845;0.0938946 0.252289 2.76578;0.509943 -0.0153923 2.6845;0.0491039 -0.0114105 2.85329;0.642803 -0.050804 2.55664;-0.139487 0.0297801 2.68658;0.693375 -0.0344792 2.48101;-0.202128 0.0747974 2.63903;0.496318 -1.28856 2.68071;0.0797466 -1.28657 2.7046;211;
1525195560986;0.252127 0.51747 2.73153;0.265286 0.354864 2.71541;0.264975 0.274103 2.7205;0.261948 0.0268419 2.72505;0.255844 -0.310362 2.71903;0.434303 0.249474 2.68498;0.0935704 0.252122 2.76573;0.517529 -0.00446257 2.68498;0.0173347 0.0279736 2.83837;0.663219 0.0310464 2.51697;-0.141754 0.0482499 2.68987;0.682178 0.106322 2.47926;-0.169376 0.142284 2.66701;0.496202 -1.28898 2.68011;0.0795799 -1.28628 2.70395;212;
1525195561050;0.252492 0.517325 2.73142;0.265136 0.354526 2.71529;0.264699 0.273732 2.72022;0.261253 0.0264364 2.72411;0.254589 -0.310564 2.71711;0.434197 0.24896 2.68566;0.0933979 0.252295 2.76552;0.531712 0.00847144 2.68566;0.016992 0.0281772 2.8376;0.638907 0.135324 2.52802;-0.145514 0.191842 2.6752;0.657257 0.187065 2.49443;-0.155701 0.219194 2.66731;0.496207 -1.28891 2.68009;0.0798312 -1.28598 2.70368;213;
1525195561183;0.252906 0.51742 2.73132;0.264631 0.354292 2.71461;0.263986 0.273485 2.71932;0.260108 0.0262405 2.7228;0.253157 -0.310614 2.7157;0.433844 0.248657 2.68573;0.0931273 0.252333 2.76549;0.535953 -0.00989026 2.68573;0.0172733 0.0278587 2.83654;0.602378 0.200144 2.54633;-0.114177 0.204262 2.68845;0.608603 0.254999 2.5303;-0.120914 0.258181 2.68111;0.495875 -1.28884 2.68006;0.0799754 -1.2862 2.70322;214;
1525195561282;0.25316 0.517377 2.73007;0.263502 0.353681 2.71341;0.262795 0.272902 2.71811;0.259043 0.0258043 2.72181;0.252465 -0.310845 2.71522;0.43221 0.247579 2.68546;0.0930441 0.252302 2.76557;0.534268 -0.0102288 2.68546;0.0195745 0.0265287 2.83449;0.599096 0.200637 2.54903;-0.113591 0.202781 2.69025;0.596698 0.254383 2.53809;-0.1276 0.243772 2.68628;0.495854 -1.28889 2.68012;0.0799708 -1.28636 2.70322;215;
1525195561564;0.252445 0.516444 2.7252;0.263772 0.352275 2.71065;0.262902 0.271636 2.71563;0.258881 0.0249356 2.72022;0.252199 -0.311267 2.71466;0.431358 0.246826 2.6853;0.0933642 0.252266 2.76908;0.533693 -0.0108674 2.6853;0.0224562 0.0267535 2.83496;0.593736 0.202843 2.55049;-0.110622 0.201299 2.69891;0.587531 0.24936 2.53626;-0.118625 0.239591 2.70142;0.497704 -1.29108 2.68097;0.0802114 -1.28617 2.70445;216;
1525195561598;0.251815 0.515977 2.72325;0.264197 0.351678 2.70912;0.263235 0.271034 2.71418;0.259019 0.0243357 2.71912;0.252161 -0.31178 2.71413;0.430864 0.246146 2.68543;0.0942558 0.252111 2.7705;0.532309 -0.011447 2.68543;0.025983 0.0256847 2.83708;0.590559 0.202911 2.55232;-0.108941 0.199903 2.70403;0.584985 0.249608 2.53799;-0.118691 0.23926 2.70547;0.497661 -1.29112 2.68092;0.0799331 -1.28645 2.70469;217;
1525195561631;0.251464 0.515747 2.72204;0.264463 0.351693 2.70816;0.263386 0.271003 2.71329;0.258908 0.0241802 2.71842;0.251744 -0.312095 2.71369;0.430605 0.245818 2.68552;0.0949117 0.252005 2.77146;0.5311 -0.0104223 2.68552;0.0271565 0.0254827 2.83797;0.588685 0.201013 2.5543;-0.1071 0.197913 2.70691;0.585487 0.248384 2.53784;-0.117713 0.240519 2.70399;0.497733 -1.29143 2.68082;0.0797392 -1.28596 2.70429;218;
1525195561764;0.249403 0.514901 2.72324;0.26483 0.351722 2.70799;0.263623 0.271 2.7131;0.258917 0.0240903 2.71815;0.251261 -0.312441 2.71315;0.430196 0.24469 2.68595;0.0970359 0.252507 2.77764;0.530877 -0.0116843 2.68595;0.03274 0.0239903 2.84361;0.58848 0.19928 2.55353;-0.104296 0.19705 2.71027;0.589275 0.240271 2.53288;-0.109859 0.237992 2.70772;0.497934 -1.2911 2.68051;0.0796807 -1.28612 2.70448;219;
1525195562098;0.221053 0.508445 2.74805;0.255453 0.351478 2.71576;0.253415 0.270574 2.71997;0.245459 0.0230156 2.72277;0.231627 -0.314629 2.71495;0.417372 0.240549 2.69256;0.0859665 0.248722 2.80883;0.523047 -0.013003 2.69256;0.031153 0.0139777 2.8683;0.565972 0.195277 2.55524;-0.109456 0.191699 2.74484;0.559136 0.24188 2.53521;-0.123348 0.231458 2.74558;0.497845 -1.29129 2.68003;0.0801145 -1.28672 2.70432;220;
1525195562231;0.20262 0.507843 2.75606;0.236729 0.352272 2.72609;0.234496 0.271033 2.72955;0.226819 0.0225197 2.73001;0.215265 -0.316067 2.71962;0.394506 0.239867 2.69908;0.0724692 0.245914 2.82146;0.516068 -0.00825263 2.69908;0.0265342 0.0131095 2.87522;0.549092 0.199691 2.5534;-0.120482 0.185794 2.75523;0.536562 0.243404 2.53723;-0.140686 0.227117 2.75787;0.497968 -1.29121 2.67988;0.0797712 -1.28666 2.70401;221;
1525195562384;0.162097 0.502839 2.7733;0.195907 0.347773 2.74228;0.194929 0.26655 2.74574;0.191031 0.0181074 2.74617;0.184501 -0.320331 2.73591;0.363999 0.239202 2.71096;0.0371194 0.240494 2.83718;0.466484 0.0187924 2.71096;-0.00495665 0.00842112 2.89576;0.512719 0.20166 2.55839;-0.152159 0.177099 2.77016;0.505265 0.242565 2.54294;-0.167891 0.216444 2.76503;0.498102 -1.28871 2.67174;0.0793453 -1.28657 2.70565;222;
1525195562483;0.151735 0.500708 2.77624;0.187811 0.347217 2.7452;0.186542 0.266139 2.74909;0.181845 0.0181862 2.75091;0.174423 -0.319459 2.74283;0.350866 0.24052 2.71786;0.0260103 0.242533 2.84109;0.464722 -0.00901444 2.71786;-0.0164012 0.0077961 2.90021;0.500581 0.191373 2.57228;-0.172074 0.148064 2.77489;0.48791 0.241492 2.5502;-0.184916 0.215779 2.76194;0.49923 -1.28847 2.66413;0.0784886 -1.28773 2.70483;223;
1525195562527;0.144934 0.501712 2.77862;0.180026 0.347296 2.74766;0.179524 0.266212 2.75167;0.17693 0.0182351 2.75372;0.171737 -0.319454 2.74578;0.345343 0.240652 2.72136;0.0249684 0.242 2.84128;0.461212 -0.00935735 2.72136;-0.0290086 0.00922509 2.90152;0.493157 0.180266 2.57877;-0.178585 0.169321 2.77091;0.482453 0.242498 2.55511;-0.19106 0.215795 2.76377;0.499357 -1.28908 2.66128;0.0780599 -1.28777 2.70443;224;
1525195562650;0.117875 0.499823 2.78666;0.153018 0.346992 2.7578;0.154633 0.266242 2.76241;0.15808 0.0191637 2.76605;0.159894 -0.317487 2.76015;0.320698 0.243302 2.73822;-0.0184818 0.237854 2.85237;0.437723 -0.00535828 2.73822;-0.0496882 0.00924759 2.90746;0.475689 0.175405 2.59716;-0.194575 0.151304 2.76646;0.467087 0.24115 2.57463;-0.214022 0.215366 2.75264;0.49744 -1.28462 2.6624;0.0773215 -1.28806 2.70673;225;
1525195562783;0.0839847 0.49795 2.79715;0.127495 0.345806 2.76742;0.13051 0.265119 2.77279;0.138694 0.0183226 2.77862;0.147462 -0.317849 2.77532;0.298684 0.244813 2.75005;-0.0348048 0.234491 2.85389;0.408737 0.00239317 2.75005;-0.0787388 0.00603025 2.9069;0.456031 0.165243 2.6271;-0.221854 0.175425 2.74344;0.452831 0.24072 2.59122;-0.233275 0.206729 2.73891;0.49748 -1.28896 2.66027;0.0783943 -1.29024 2.71118;226;
1525195562818;0.0796935 0.498428 2.79837;0.123499 0.34554 2.76843;0.126754 0.264831 2.77404;0.135702 0.0179846 2.78066;0.145733 -0.318239 2.77868;0.294387 0.244446 2.75156;-0.0407019 0.232891 2.85361;0.408909 0.00323911 2.75156;-0.0806541 0.00513626 2.90686;0.446616 0.137878 2.66807;-0.226849 0.139915 2.75301;0.447645 0.242533 2.59463;-0.237061 0.205431 2.73619;0.496828 -1.28898 2.65975;0.0777536 -1.28966 2.70968;227;
1525195562849;0.0764569 0.497464 2.79838;0.118739 0.345032 2.7686;0.122814 0.264373 2.77455;0.133727 0.0176563 2.78192;0.145533 -0.318514 2.78128;0.289879 0.245982 2.75329;-0.045407 0.230899 2.85282;0.40056 0.0373902 2.75329;-0.104366 -0.0362083 2.92286;0.445813 0.199248 2.62214;-0.227986 0.16035 2.74579;0.443607 0.246468 2.59487;-0.239665 0.204493 2.73415;0.494005 -1.28799 2.65835;0.0777598 -1.28924 2.7098;228;
1525195562882;0.069596 0.497771 2.80019;0.115376 0.345318 2.76974;0.119926 0.264657 2.77589;0.132177 0.0179647 2.78394;0.146085 -0.317961 2.78505;0.28399 0.247747 2.75533;-0.049308 0.229728 2.85289;0.410611 0.012336 2.75533;-0.105077 -0.0380291 2.92301;0.445366 0.199784 2.62238;-0.227459 0.160347 2.74718;0.441694 0.248715 2.5986;-0.24089 0.202812 2.73546;0.493132 -1.28785 2.65926;0.0766519 -1.29965 2.72813;229;
1525195562916;0.063147 0.496611 2.80026;0.109767 0.343736 2.7695;0.115262 0.263324 2.77615;0.129999 0.0172341 2.78529;0.146163 -0.318325 2.7878;0.280071 0.248119 2.75638;-0.0531053 0.228212 2.85239;0.409375 0.0145458 2.75638;-0.106367 -0.0392201 2.92489;0.444703 0.200255 2.62372;-0.226845 0.159427 2.74799;0.438009 0.250391 2.59846;-0.241002 0.201983 2.73379;0.490802 -1.28662 2.6569;0.076544 -1.29841 2.72439;230;
1525195562948;0.0590511 0.49659 2.80029;0.106581 0.343395 2.76987;0.11252 0.262993 2.77676;0.128641 0.0169749 2.78661;0.146809 -0.318479 2.79049;0.277034 0.249215 2.75705;-0.0567714 0.227261 2.8515;0.407917 0.0173812 2.75705;-0.108015 -0.0399108 2.92583;0.443455 0.202 2.62464;-0.227984 0.132884 2.74129;0.434839 0.254896 2.59957;-0.24068 0.197928 2.73211;0.48764 -1.28649 2.65827;0.075861 -1.29182 2.71244;231;
1525195563147;0.0556292 0.496105 2.79873;0.102725 0.343031 2.7713;0.1094 0.26264 2.77845;0.127428 0.0166447 2.78945;0.149674 -0.318736 2.79661;0.273018 0.251087 2.76109;-0.0613799 0.225523 2.84878;0.408351 0.0210589 2.76109;-0.111399 -0.0421598 2.92229;0.439501 0.205106 2.63174;-0.232887 0.121027 2.73506;0.427093 0.262644 2.60714;-0.246213 0.187209 2.71398;0.489453 -1.28482 2.65562;0.0768627 -1.29349 2.71561;232;
1525195563182;0.0547169 0.496258 2.79792;0.101982 0.342919 2.7715;0.108757 0.262527 2.77878;0.12722 0.0165307 2.79033;0.150758 -0.318765 2.79828;0.271883 0.251838 2.76215;-0.063047 0.224355 2.84646;0.40849 0.0218625 2.76215;-0.113672 -0.0429389 2.92072;0.438901 0.206028 2.6333;-0.234357 0.119277 2.73149;0.429049 0.264254 2.60801;-0.242787 0.188113 2.71006;0.488551 -1.28382 2.65361;0.0771831 -1.29291 2.71521;233;
1525195563299;0.060919 0.497603 2.79599;0.102498 0.343218 2.77223;0.109401 0.262775 2.77958;0.128926 0.0166284 2.79166;0.155016 -0.318988 2.79957;0.273759 0.251745 2.76358;-0.0625867 0.224617 2.84634;0.408609 0.0205574 2.76358;-0.114443 -0.044376 2.91502;0.439697 0.206846 2.63445;-0.223282 0.120522 2.72358;0.437484 0.262762 2.60926;-0.232147 0.19074 2.70593;0.470719 -1.2852 2.65402;0.0778453 -1.29122 2.71263;234;
