Time;Head;Neck;Spine Shoulder;Spine Mid;Spine Base;R Shoulder;L Shoulder;R Elbow;L Elbow;R Wrist;L Wrist;R Hand;L Hand;R Foot;L Foot;Frame No.;
1525195553864;0.23668 0.497386 2.74155;0.238003 0.333575 2.73561;0.239481 0.254198 2.74031;0.243165 0.0113591 2.74479;0.247193 -0.319638 2.74071;0.419974 0.242877 2.74663;0.0704281 0.241654 2.80585;0.549845 0.0278381 2.74663;-0.067447 0.0134115 2.89254;0.576255 0.263903 2.64232;-0.107532 0.224184 2.73719;0.569253 0.295937 2.60703;-0.118465 0.293234 2.71068;0.498149 -1.29126 2.68087;0.0805311 -1.28673 2.70363;146;
1525195554216;0.23912 0.497689 2.74339;0.240074 0.333496 2.73643;0.241239 0.254103 2.74124;0.244175 0.011233 2.74598;0.247454 -0.31977 2.74234;0.420695 0.24261 2.74667;0.0720437 0.242175 2.80765;0.550497 0.0275862 2.74667;-0.0664632 0.0153752 2.8951;0.576876 0.262464 2.63889;-0.106323 0.22649 2.74134;0.568767 0.292382 2.59983;-0.118223 0.298792 2.72129;0.498099 -1.29134 2.68081;0.0805103 -1.28672 2.70362;147;
1525195554296;0.240643 0.497063 2.74372;0.242546 0.333091 2.73713;0.24329 0.253751 2.74196;0.245139 0.0110331 2.74664;0.247578 -0.319822 2.74281;0.421391 0.242345 2.74646;0.0731269 0.242234 2.80876;0.550493 0.0275382 2.74646;-0.0667628 0.0173092 2.89655;0.578073 0.261515 2.63749;-0.105381 0.227978 2.74213;0.567533 0.292768 2.59966;-0.115756 0.296667 2.71935;0.498069 -1.2913 2.68077;0.0805601 -1.28678 2.70369;148;
1525195554383;0.241798 0.496652 2.7441;0.243501 0.332929 2.73747;0.244217 0.253619 2.74235;0.245883 0.0110027 2.74714;0.247964 -0.319702 2.74333;0.422031 0.242301 2.74651;0.0736603 0.242455 2.80946;0.550583 0.0275809 2.74651;-0.0666661 0.0176189 2.89668;0.578453 0.261219 2.63695;-0.10495 0.228922 2.74297;0.569217 0.287709 2.6006;-0.114893 0.297447 2.71902;0.497681 -1.29106 2.68045;0.0806533 -1.28688 2.70394;149;
1525195554517;0.242279 0.496036 2.74424;0.244342 0.332398 2.73777;0.24502 0.253109 2.74277;0.246545 0.0105457 2.74795;0.248305 -0.320047 2.74477;0.422581 0.24206 2.74656;0.0740727 0.242562 2.80998;0.551209 0.0277077 2.74656;-0.066592 0.0177432 2.89676;0.577633 0.259677 2.63556;-0.104762 0.228876 2.74327;0.571366 0.287377 2.60076;-0.116592 0.295524 2.71473;0.497519 -1.2908 2.68021;0.0807072 -1.28748 2.70362;150;
1525195554585;0.242364 0.495297 2.744;0.245096 0.331816 2.73801;0.245736 0.252598 2.74311;0.247135 0.0102289 2.74859;0.248677 -0.320064 2.74584;0.422767 0.241978 2.74645;0.0744417 0.242663 2.81041;0.55259 0.02849 2.74645;-0.0658456 0.0175785 2.89883;0.57831 0.259477 2.63504;-0.104447 0.228343 2.74358;0.570039 0.287036 2.59914;-0.115518 0.294853 2.71388;0.497485 -1.29052 2.68017;0.0806976 -1.28745 2.70385;151;
1525195554984;0.247318 0.494283 2.74562;0.248313 0.330597 2.74076;0.248296 0.251539 2.74543;0.248067 0.00963152 2.74977;0.248563 -0.320251 2.74611;0.427184 0.239604 2.74851;0.077069 0.242434 2.8123;0.554803 0.0267763 2.74851;-0.0648351 0.0181162 2.90033;0.578917 0.258533 2.63605;-0.102435 0.228283 2.74529;0.582308 0.288291 2.61252;-0.106363 0.297076 2.72176;0.497134 -1.28993 2.67958;0.0805398 -1.28751 2.70339;152;
1525195555060;0.254308 0.492469 2.74691;0.251704 0.329786 2.74259;0.251024 0.250786 2.74696;0.249025 0.00913972 2.75048;0.248394 -0.320454 2.74619;0.432799 0.23558 2.75086;0.0803495 0.242751 2.81379;0.561569 0.0155957 2.75086;-0.0628522 0.0182921 2.90352;0.579899 0.247448 2.64479;-0.0998584 0.228741 2.74647;0.583982 0.283749 2.61403;-0.10404 0.298231 2.72226;0.497395 -1.29021 2.67941;0.0805485 -1.28751 2.70339;153;
1525195555150;0.261847 0.493359 2.74847;0.256207 0.329753 2.74403;0.254908 0.250667 2.74821;0.250907 0.00888029 2.75111;0.248426 -0.320539 2.74619;0.436671 0.233137 2.75267;0.0839754 0.243931 2.81552;0.561963 0.0149629 2.75267;-0.0615355 0.0199234 2.9032;0.585783 0.248444 2.64782;-0.0966703 0.230743 2.74853;0.590975 0.286195 2.62209;-0.101269 0.303128 2.7252;0.497464 -1.2905 2.67943;0.0807722 -1.2872 2.70318;154;
1525195555221;0.270078 0.494183 2.75107;0.258704 0.329567 2.74478;0.257261 0.25049 2.74887;0.25251 0.00873446 2.75146;0.248575 -0.320579 2.74611;0.441171 0.230428 2.75464;0.0874756 0.244478 2.81614;0.562672 0.0155612 2.75464;-0.0603379 0.0216508 2.90317;0.590085 0.251004 2.64933;-0.0937478 0.233066 2.74963;0.594722 0.286204 2.62506;-0.0997034 0.305067 2.72695;0.497134 -1.29055 2.67907;0.0806516 -1.28714 2.70318;155;
